uniprot_id,entry_name,protein,gene_name,organism,length,gene_names_(ordered_locus),gene_name_short,pathway,gene_ontology_ids,subcellular_location_[cc],interacts_with,locus
P17253,ATPG_SYNY3,ATP synthase gamma chain (ATP synthase F1 sector gamma subunit) (F-ATPase gamma subunit),atpG atpC sll1327,Synechocystis sp. (strain PCC 6803 / Kazusa),314,sll1327,atpG,NA,GO:0005524; GO:0015986; GO:0031676; GO:0045260; GO:0045261; GO:0046933,SUBCELLULAR LOCATION: Cellular thylakoid membrane {ECO:0000255|HAMAP-Rule:MF_00815}; Peripheral membrane protein {ECO:0000255|HAMAP-Rule:MF_00815}.,NA,sll1327
P19045,NU3C_SYNY3,NAD(P)H-quinone oxidoreductase subunit 3 (EC 7.1.1.-) (NAD(P)H dehydrogenase subunit 3) (NADH-plastoquinone oxidoreductase subunit 3) (NDH-1 subunit 3) (NDH-C),ndhC slr1279,Synechocystis sp. (strain PCC 6803 / Kazusa),120,slr1279,ndhC,NA,GO:0008137; GO:0016021; GO:0019684; GO:0031676; GO:0048038,SUBCELLULAR LOCATION: Cellular thylakoid membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.,NA,slr1279
P19569,PSAD_SYNY3,Photosystem I reaction center subunit II (Photosystem I 16 kDa polypeptide) (PSI-D),psaD slr0737,Synechocystis sp. (strain PCC 6803 / Kazusa),141,slr0737,psaD,NA,GO:0009538; GO:0015979; GO:0030094,NA,P27320,slr0737
P20169,DSPA_SYNY3,Drug sensory protein A (EC 2.7.13.3),dspA dfr sll0698,Synechocystis sp. (strain PCC 6803 / Kazusa),663,sll0698,dspA,NA,GO:0000155; GO:0005524; GO:0005886; GO:0006355; GO:0009635; GO:0016021,SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.,NA,sll0698
P20170,TRPE_SYNY3,Anthranilate synthase component 1 (AS) (ASI) (EC 4.1.3.27),trpE slr0738,Synechocystis sp. (strain PCC 6803 / Kazusa),508,slr0738,trpE,PATHWAY: Amino-acid biosynthesis; L-tryptophan biosynthesis; L-tryptophan from chorismate: step 1/5.,GO:0000162; GO:0004049; GO:0046872,NA,NA,slr0738
P20388,DESA_SYNY3,Delta(12)-fatty-acid desaturase (EC 1.14.19.6),desA slr1350,Synechocystis sp. (strain PCC 6803 / Kazusa),351,slr1350,desA,PATHWAY: Lipid metabolism; polyunsaturated fatty acid biosynthesis.,GO:0005886; GO:0006636; GO:0016021; GO:0102985; GO:0102987,SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.,NA,slr1350
P20804,ACP_SYNY3,Acyl carrier protein (ACP),acpP acp ssl2084,Synechocystis sp. (strain PCC 6803 / Kazusa),77,ssl2084,acpP,PATHWAY: Lipid metabolism; fatty acid biosynthesis. {ECO:0000255|HAMAP-Rule:MF_01217}.,GO:0000035; GO:0000036; GO:0005829; GO:0009245,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01217}.,NA,ssl2084
P21697,PLAS_SYNY3,Plastocyanin,petE sll0199,Synechocystis sp. (strain PCC 6803 / Kazusa),126,sll0199,petE,NA,GO:0005507; GO:0009055; GO:0031676,SUBCELLULAR LOCATION: Cellular thylakoid membrane {ECO:0000269|PubMed:9466912}; Peripheral membrane protein {ECO:0000269|PubMed:9466912}; Lumenal side {ECO:0000269|PubMed:9466912}. Note=Loosely bound to the thylakoid inner membrane surface (PubMed:9466912).,NA,sll0199
P23349,RL7_SYNY3,50S ribosomal protein L7/L12,rplL rpl12 sll1746,Synechocystis sp. (strain PCC 6803 / Kazusa),128,sll1746,rplL,NA,GO:0003729; GO:0003735; GO:0005840; GO:0006412; GO:1990904,NA,NA,sll1746
P23353,AROC_SYNY3,Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase),aroC sll1747,Synechocystis sp. (strain PCC 6803 / Kazusa),362,sll1747,aroC,PATHWAY: Metabolic intermediate biosynthesis; chorismate biosynthesis; chorismate from D-erythrose 4-phosphate and phosphoenolpyruvate: step 7/7. {ECO:0000255|HAMAP-Rule:MF_00300}.,GO:0004107; GO:0005829; GO:0008652; GO:0009073; GO:0009423; GO:0010181,NA,NA,sll1747
P24602,BFR_SYNY3,Bacterioferritin (BFR) (EC 1.16.3.1),bfr sll1341,Synechocystis sp. (strain PCC 6803 / Kazusa),156,sll1341,bfr,NA,GO:0004322; GO:0005506; GO:0005829; GO:0006826; GO:0006880; GO:0008199; GO:0020037,NA,NA,sll1341
P26286,PSBN_SYNY3,Protein PsbN,psbN smr0009,Synechocystis sp. (strain PCC 6803 / Kazusa),43,smr0009,psbN,NA,GO:0015979; GO:0016021; GO:0031676,SUBCELLULAR LOCATION: Cellular thylakoid membrane {ECO:0000255|HAMAP-Rule:MF_00293}; Single-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_00293}.,NA,smr0009
P26287,CYF_SYNY3,Cytochrome f,petA sll1317,Synechocystis sp. (strain PCC 6803 / Kazusa),328,sll1317,petA,NA,GO:0005506; GO:0009055; GO:0009512; GO:0015979; GO:0020037; GO:0031361; GO:0031676,SUBCELLULAR LOCATION: Cellular thylakoid membrane {ECO:0000250}; Single-pass membrane protein {ECO:0000250}.,NA,sll1317
P26522,NU1C_SYNY3,NAD(P)H-quinone oxidoreductase subunit 1 (EC 7.1.1.-) (NAD(P)H dehydrogenase I subunit 1) (NDH-1 subunit 1) (NDH-A),ndhA sll0519,Synechocystis sp. (strain PCC 6803 / Kazusa),372,sll0519,ndhA,NA,GO:0009060; GO:0016021; GO:0016655; GO:0019684; GO:0031676; GO:0048038,SUBCELLULAR LOCATION: Cellular thylakoid membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.,NA,sll0519
P26523,NU6C_SYNY3,"NAD(P)H-quinone oxidoreductase chain 6 (EC 7.1.1.-) (NAD(P)H dehydrogenase I, chain 6) (NDH-1, chain 6)",ndhG sll0521,Synechocystis sp. (strain PCC 6803 / Kazusa),198,sll0521,ndhG,NA,GO:0008137; GO:0016021; GO:0048038,SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.,NA,sll0521
P26524,NU4LC_SYNY3,"NAD(P)H-quinone oxidoreductase subunit 4L (EC 7.1.1.-) (NAD(P)H dehydrogenase subunit 4L) (NADH-plastoquinone oxidoreductase subunit 4L) (NDH-1, subunit 4L) (NDH-E)",ndhE sll0522,Synechocystis sp. (strain PCC 6803 / Kazusa),103,sll0522,ndhE,NA,GO:0008137; GO:0019684; GO:0031676; GO:0042773; GO:0045272; GO:0048038,SUBCELLULAR LOCATION: Cellular thylakoid membrane {ECO:0000255|HAMAP-Rule:MF_01456}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01456}.,NA,sll0522
P26525,NDHI_SYNY3,NAD(P)H-quinone oxidoreductase subunit I (EC 7.1.1.-) (NAD(P)H dehydrogenase I subunit I) (NDH-1 subunit I) (NDH-I),ndhI sll0520,Synechocystis sp. (strain PCC 6803 / Kazusa),193,sll0520,ndhI,NA,GO:0005506; GO:0008137; GO:0019684; GO:0031676; GO:0048038; GO:0051539,SUBCELLULAR LOCATION: Cellular thylakoid membrane {ECO:0000255|HAMAP-Rule:MF_01351}; Peripheral membrane protein {ECO:0000255|HAMAP-Rule:MF_01351}.,NA,sll0520
P26527,ATPB_SYNY3,ATP synthase subunit beta (EC 7.1.2.2) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta),atpD atpB slr1329,Synechocystis sp. (strain PCC 6803 / Kazusa),483,slr1329,atpD,NA,GO:0005524; GO:0031676; GO:0045260; GO:0045261; GO:0046933; GO:0046961,SUBCELLULAR LOCATION: Cellular thylakoid membrane {ECO:0000255|HAMAP-Rule:MF_01347}; Peripheral membrane protein {ECO:0000255|HAMAP-Rule:MF_01347}.,NA,slr1329
P27179,ATPA_SYNY3,ATP synthase subunit alpha (EC 7.1.2.2) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha),atpA sll1326,Synechocystis sp. (strain PCC 6803 / Kazusa),503,sll1326,atpA,NA,GO:0005524; GO:0015986; GO:0031676; GO:0043531; GO:0045260; GO:0045261; GO:0046933; GO:0046961,SUBCELLULAR LOCATION: Cellular thylakoid membrane {ECO:0000255|HAMAP-Rule:MF_01346}; Peripheral membrane protein {ECO:0000255|HAMAP-Rule:MF_01346}.,NA,sll1326
P27180,ATPD_SYNY3,ATP synthase subunit delta (ATP synthase F(1) sector subunit delta) (F-type ATPase subunit delta) (F-ATPase subunit delta),atpH atpD sll1325,Synechocystis sp. (strain PCC 6803 / Kazusa),185,sll1325,atpH,NA,GO:0015986; GO:0031676; GO:0045260; GO:0045261; GO:0046933,SUBCELLULAR LOCATION: Cellular thylakoid membrane {ECO:0000255|HAMAP-Rule:MF_01416}; Peripheral membrane protein {ECO:0000255|HAMAP-Rule:MF_01416}.,NA,sll1325
P27181,ATPF_SYNY3,ATP synthase subunit b (ATP synthase F(0) sector subunit b) (ATPase subunit I) (F-type ATPase subunit b) (F-ATPase subunit b),atpF sll1324,Synechocystis sp. (strain PCC 6803 / Kazusa),179,sll1324,atpF,NA,GO:0016021; GO:0031676; GO:0045260; GO:0045263; GO:0046933,SUBCELLULAR LOCATION: Cellular thylakoid membrane {ECO:0000255|HAMAP-Rule:MF_01398}; Single-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01398}.,NA,sll1324
P27182,ATPL_SYNY3,ATP synthase subunit c (ATP synthase F(0) sector subunit c) (F-type ATPase subunit c) (F-ATPase subunit c) (Lipid-binding protein),atpE atpH ssl2615,Synechocystis sp. (strain PCC 6803 / Kazusa),81,ssl2615,atpE,NA,GO:0008289; GO:0015986; GO:0016021; GO:0031676; GO:0045263; GO:0046933,SUBCELLULAR LOCATION: Cellular thylakoid membrane {ECO:0000255|HAMAP-Rule:MF_01396}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01396}.,NA,ssl2615
P27183,ATPF2_SYNY3,ATP synthase subunit b' (ATP synthase F(0) sector subunit b') (ATPase subunit II) (F-type ATPase subunit b') (F-ATPase subunit b'),atpF2 atpG sll1323,Synechocystis sp. (strain PCC 6803 / Kazusa),143,sll1323,atpF2,NA,GO:0016021; GO:0031676; GO:0045260; GO:0045263; GO:0046933,SUBCELLULAR LOCATION: Cellular thylakoid membrane {ECO:0000255|HAMAP-Rule:MF_01399}; Single-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01399}.,NA,sll1323
P27589,PETD_SYNY3,Cytochrome b6-f complex subunit 4 (17 kDa polypeptide),petD slr0343,Synechocystis sp. (strain PCC 6803 / Kazusa),160,slr0343,petD,NA,GO:0009512; GO:0009767; GO:0016021; GO:0031676; GO:0045156; GO:0045158,SUBCELLULAR LOCATION: Cellular thylakoid membrane {ECO:0000255|HAMAP-Rule:MF_01344}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01344}.,NA,slr0343
P28372,CHLN_SYNY3,Light-independent protochlorophyllide reductase subunit N (DPOR subunit N) (LI-POR subunit N) (EC 1.3.7.7),chlN slr0750,Synechocystis sp. (strain PCC 6803 / Kazusa),469,slr0750,chlN,PATHWAY: Porphyrin-containing compound metabolism; chlorophyll biosynthesis (light-independent). {ECO:0000255|HAMAP-Rule:MF_00352}.,GO:0005524; GO:0016636; GO:0016730; GO:0019685; GO:0036068; GO:0046872; GO:0051539,NA,NA,slr0750
P28373,CHLL_SYNY3,Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7),chlL frxC slr0749,Synechocystis sp. (strain PCC 6803 / Kazusa),288,slr0749,chlL,PATHWAY: Porphyrin-containing compound metabolism; chlorophyll biosynthesis (light-independent). {ECO:0000255|HAMAP-Rule:MF_00355}.,GO:0005524; GO:0016636; GO:0016730; GO:0019685; GO:0036068; GO:0046872; GO:0051539,NA,NA,slr0749
P32421,NU4C1_SYNY3,"NAD(P)H-quinone oxidoreductase chain 4-1 (EC 7.1.1.-) (NAD(P)H dehydrogenase I, subunit D-1) (NDH-1, chain 4-1)",ndhD1 ndhD slr0331,Synechocystis sp. (strain PCC 6803 / Kazusa),525,slr0331,ndhD1,NA,GO:0008137; GO:0016021; GO:0031676; GO:0042773; GO:0048038,SUBCELLULAR LOCATION: Cellular thylakoid membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.,NA,slr0331
P33779,NTCA_SYNY3,Global nitrogen regulator,ntcA sll1423,Synechocystis sp. (strain PCC 6803 / Kazusa),225,sll1423,ntcA,NA,GO:0003677; GO:0003700; GO:0005829,NA,NA,sll1423
P36236,RL1_SYNY3,50S ribosomal protein L1,rplA rpl1 sll1744,Synechocystis sp. (strain PCC 6803 / Kazusa),238,sll1744,rplA,NA,GO:0000049; GO:0000470; GO:0003723; GO:0003735; GO:0006412; GO:0006417; GO:0019843; GO:0022625,NA,NA,sll1744
P37101,KPPR_SYNY3,Phosphoribulokinase (PRK) (PRKase) (EC 2.7.1.19) (Phosphopentokinase),prk ptk sll1525,Synechocystis sp. (strain PCC 6803 / Kazusa),332,sll1525,prk,PATHWAY: Carbohydrate biosynthesis; Calvin cycle.,GO:0005524; GO:0005737; GO:0008974; GO:0016310; GO:0019253,NA,NA,sll1525
P37294,CRTB_SYNY3,15-cis-phytoene synthase (PSase) (EC 2.5.1.32),crtB pys slr1255,Synechocystis sp. (strain PCC 6803 / Kazusa),337,slr1255,crtB,PATHWAY: Carotenoid biosynthesis; phytoene biosynthesis.,GO:0004311; GO:0016117; GO:0016767; GO:0046872,NA,NA,slr1255
P37367,ATA1_SYNY3,Cation-transporting ATPase pma1 (EC 7.2.2.-),pma1 sll1614,Synechocystis sp. (strain PCC 6803 / Kazusa),905,sll1614,pma1,NA,GO:0005388; GO:0005524; GO:0005887; GO:0016887; GO:0019829; GO:0043231,SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.,NA,sll1614
P45450,MURF_SYNY3,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10) (D-alanyl-D-alanine-adding enzyme) (UDP-MurNAc-pentapeptide synthetase),murF slr1351,Synechocystis sp. (strain PCC 6803 / Kazusa),454,slr1351,murF,PATHWAY: Cell wall biogenesis; peptidoglycan biosynthesis. {ECO:0000255|HAMAP-Rule:MF_02019}.,GO:0005524; GO:0005737; GO:0007049; GO:0008360; GO:0008766; GO:0009252; GO:0047480; GO:0051301; GO:0071555,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_02019}.,NA,slr1351
P46445,CYC6_SYNY3,Cytochrome c6 (Cytochrome c-553) (Cytochrome c553) (Soluble cytochrome f),petJ sll1796,Synechocystis sp. (strain PCC 6803 / Kazusa),120,sll1796,petJ,NA,GO:0005506; GO:0009055; GO:0015979; GO:0020037; GO:0031979,SUBCELLULAR LOCATION: Cellular thylakoid lumen {ECO:0000305}.,NA,sll1796
P48576,LEU1_SYNY3,2-isopropylmalate synthase (EC 2.3.3.13) (Alpha-IPM synthase) (Alpha-isopropylmalate synthase),leuA slr0186,Synechocystis sp. (strain PCC 6803 / Kazusa),533,slr0186,leuA,PATHWAY: Amino-acid biosynthesis; L-leucine biosynthesis; L-leucine from 3-methyl-2-oxobutanoate: step 1/4.,GO:0003852; GO:0005829; GO:0009098,NA,NA,slr0186
P49057,GUAA_SYNY3,GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2) (GMP synthetase) (Glutamine amidotransferase),guaA slr0213,Synechocystis sp. (strain PCC 6803 / Kazusa),542,slr0213,guaA,PATHWAY: Purine metabolism; GMP biosynthesis; GMP from XMP (L-Gln route): step 1/1.,GO:0003921; GO:0005524; GO:0005829; GO:0006177; GO:0006541; GO:0016462,NA,NA,slr0213
P49433,G3P1_SYNY3,Glyceraldehyde-3-phosphate dehydrogenase 1 (GAPDH 1) (EC 1.2.1.12) (NAD-dependent glyceraldehyde-3-phosphate dehydrogenase),gap1 slr0884,Synechocystis sp. (strain PCC 6803 / Kazusa),339,slr0884,gap1,PATHWAY: Carbohydrate degradation; glycolysis; pyruvate from D-glyceraldehyde 3-phosphate: step 1/5. {ECO:0000305}.,GO:0004365; GO:0005829; GO:0006006; GO:0006096; GO:0050661; GO:0051287,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.,NA,slr0884
P51634,CHLI_SYNY3,Magnesium-chelatase subunit ChlI (EC 6.6.1.1) (Mg-protoporphyrin IX chelatase),chlI slr1030,Synechocystis sp. (strain PCC 6803 / Kazusa),357,slr1030,chlI,PATHWAY: Porphyrin-containing compound metabolism; chlorophyll biosynthesis.,GO:0005524; GO:0015979; GO:0015995; GO:0016851,NA,NA,slr1030
P52208,6PGD_SYNY3,"6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)",gnd sll0329,Synechocystis sp. (strain PCC 6803 / Kazusa),482,sll0329,gnd,PATHWAY: Carbohydrate degradation; pentose phosphate pathway; D-ribulose 5-phosphate from D-glucose 6-phosphate (oxidative stage): step 3/3.,GO:0004616; GO:0005829; GO:0009051; GO:0046177; GO:0050661,NA,NA,sll0329
P52415,GLGC_SYNY3,Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27) (ADP-glucose pyrophosphorylase) (ADPGlc PPase) (ADP-glucose synthase),glgC agp slr1176,Synechocystis sp. (strain PCC 6803 / Kazusa),439,slr1176,glgC,PATHWAY: Glycan biosynthesis; glycogen biosynthesis. {ECO:0000255|HAMAP-Rule:MF_00624}.,GO:0005524; GO:0005978; GO:0008878; GO:0031470; GO:0043886,NA,NA,slr1176
P52640,RSGA_SYNY3,Small ribosomal subunit biogenesis GTPase RsgA (EC 3.6.1.-),rsgA engC sll0898,Synechocystis sp. (strain PCC 6803 / Kazusa),369,sll0898,rsgA,NA,GO:0003924; GO:0005525; GO:0005737; GO:0019843; GO:0042274; GO:0046872,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01820}.,NA,sll0898
P52965,NIFJ_SYNY3,Putative pyruvate-flavodoxin oxidoreductase (EC 1.2.7.-),nifJ sll0741,Synechocystis sp. (strain PCC 6803 / Kazusa),1199,sll0741,nifJ,NA,GO:0005506; GO:0006979; GO:0009399; GO:0022900; GO:0030976; GO:0043873; GO:0051539,NA,NA,sll0741
P52981,GLGB_SYNY3,"1,4-alpha-glucan branching enzyme GlgB (EC 2.4.1.18) (1,4-alpha-D-glucan:1,4-alpha-D-glucan 6-glucosyl-transferase) (Alpha-(1->4)-glucan branching enzyme) (Glycogen branching enzyme) (BE)",glgB sll0158,Synechocystis sp. (strain PCC 6803 / Kazusa),770,sll0158,glgB,PATHWAY: Glycan biosynthesis; glycogen biosynthesis.,GO:0003844; GO:0004553; GO:0005737; GO:0005829; GO:0005975; GO:0005978; GO:0043169; GO:0102752,NA,NA,sll0158
P52983,G6PI_SYNY3,Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI),pgi slr1349,Synechocystis sp. (strain PCC 6803 / Kazusa),531,slr1349,pgi,PATHWAY: Carbohydrate biosynthesis; gluconeogenesis. {ECO:0000255|HAMAP-Rule:MF_00473}.; PATHWAY: Carbohydrate degradation; glycolysis; D-glyceraldehyde 3-phosphate and glycerone phosphate from D-glucose: step 2/4. {ECO:0000255|HAMAP-Rule:MF_00473}.,GO:0004347; GO:0005829; GO:0006094; GO:0006096; GO:0048029; GO:0051156; GO:0097367,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00473}.,NA,slr1349
P52986,DHOM_SYNY3,Homoserine dehydrogenase (HDH) (EC 1.1.1.3),hom sll0455,Synechocystis sp. (strain PCC 6803 / Kazusa),433,sll0455,hom,PATHWAY: Amino-acid biosynthesis; L-methionine biosynthesis via de novo pathway; L-homoserine from L-aspartate: step 3/3.; PATHWAY: Amino-acid biosynthesis; L-threonine biosynthesis; L-threonine from L-aspartate: step 3/5.,GO:0004412; GO:0009086; GO:0009088; GO:0009097; GO:0050661,NA,NA,sll0455
P52997,PANB_SYNY3,3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11) (Ketopantoate hydroxymethyltransferase) (KPHMT),panB slr0526,Synechocystis sp. (strain PCC 6803 / Kazusa),260,slr0526,panB,PATHWAY: Cofactor biosynthesis; (R)-pantothenate biosynthesis; (R)-pantoate from 3-methyl-2-oxobutanoate: step 1/2. {ECO:0000255|HAMAP-Rule:MF_00156}.,GO:0000287; GO:0003864; GO:0005737; GO:0015940,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00156}.,NA,slr0526
P53579,MAP11_SYNY3,Methionine aminopeptidase A (MAP A) (MetAP A) (EC 3.4.11.18) (Peptidase M),slr0918,Synechocystis sp. (strain PCC 6803 / Kazusa),253,slr0918,NA,NA,GO:0005829; GO:0006508; GO:0046914; GO:0070006; GO:0070084,NA,NA,slr0918
P53580,MAP12_SYNY3,Methionine aminopeptidase B (MAP B) (MetAP B) (EC 3.4.11.18) (Peptidase M),slr0786,Synechocystis sp. (strain PCC 6803 / Kazusa),274,slr0786,NA,NA,GO:0005829; GO:0006508; GO:0046914; GO:0070006; GO:0070084,NA,NA,slr0786
P53581,MAP13_SYNY3,Methionine aminopeptidase C (MAP C) (MetAP C) (EC 3.4.11.18) (Peptidase M),sll0555,Synechocystis sp. (strain PCC 6803 / Kazusa),305,sll0555,NA,NA,GO:0005829; GO:0006508; GO:0046914; GO:0070006; GO:0070084,NA,NA,sll0555
P54123,RNJ_SYNY3,Ribonuclease J (RNase J) (EC 3.1.-.-),rnj slr0551,Synechocystis sp. (strain PCC 6803 / Kazusa),640,slr0551,rnj,NA,GO:0003723; GO:0004521; GO:0004534; GO:0005737; GO:0006364; GO:0008270,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01491}.,NA,slr0551
P54206,RBS_SYNY3,Ribulose bisphosphate carboxylase small subunit (RuBisCO small subunit),cbbS rbcS slr0012,Synechocystis sp. (strain PCC 6803 / Kazusa),113,slr0012,cbbS,NA,GO:0009853; GO:0019253; GO:0031470,"SUBCELLULAR LOCATION: Carboxysome {ECO:0000255|HAMAP-Rule:MF_00859, ECO:0000269|PubMed:17993516}. Note=This cyanobacterium makes beta-type carboxysomes. RuBisCO associates with both the internal and shell portion of carboxysomes (PubMed:17993516). In the carboxysome RuBisCO is organized into a paracrystalline array (By similarity). {ECO:0000250|UniProtKB:Q31NB2, ECO:0000269|PubMed:17993516}.",NA,slr0012
P54224,DCUP_SYNY3,Uroporphyrinogen decarboxylase (UPD) (URO-D) (EC 4.1.1.37),hemE slr0536,Synechocystis sp. (strain PCC 6803 / Kazusa),350,slr0536,hemE,PATHWAY: Porphyrin-containing compound metabolism; protoporphyrin-IX biosynthesis; coproporphyrinogen-III from 5-aminolevulinate: step 4/4. {ECO:0000255|HAMAP-Rule:MF_00218}.,GO:0004853; GO:0005737; GO:0006782,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00218}.,NA,slr0536
P54225,HEMH_SYNY3,Ferrochelatase (EC 4.98.1.1) (Heme synthase) (Protoheme ferro-lyase),hemH slr0839,Synechocystis sp. (strain PCC 6803 / Kazusa),387,slr0839,hemH,PATHWAY: Porphyrin-containing compound metabolism; protoheme biosynthesis; protoheme from protoporphyrin-IX: step 1/1. {ECO:0000255|HAMAP-Rule:MF_00323}.,GO:0004325; GO:0005737; GO:0006783; GO:0046872,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00323}.,NA,slr0839
P54384,LEUC_SYNY3,3-isopropylmalate dehydratase large subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase),leuC sll1470,Synechocystis sp. (strain PCC 6803 / Kazusa),468,sll1470,leuC,PATHWAY: Amino-acid biosynthesis; L-leucine biosynthesis; L-leucine from 3-methyl-2-oxobutanoate: step 2/4. {ECO:0000255|HAMAP-Rule:MF_01026}.,GO:0003861; GO:0009098; GO:0046872; GO:0051539,NA,NA,sll1470
P54386,DHE4_SYNY3,NADP-specific glutamate dehydrogenase (NADP-GDH) (EC 1.4.1.4),gdhA slr0710,Synechocystis sp. (strain PCC 6803 / Kazusa),428,slr0710,gdhA,NA,GO:0004352; GO:0004354; GO:0005737; GO:0006537; GO:0006538,NA,NA,slr0710
P54416,CLPP1_SYNY3,ATP-dependent Clp protease proteolytic subunit 1 (EC 3.4.21.92) (Endopeptidase Clp 1),clpP1 slr0542,Synechocystis sp. (strain PCC 6803 / Kazusa),198,slr0542,clpP1,NA,GO:0004176; GO:0004252; GO:0005737; GO:0006515; GO:0009368; GO:0051117,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00444}.,NA,slr0542
P54691,ILVE_SYNY3,Probable branched-chain-amino-acid aminotransferase (BCAT) (EC 2.6.1.42),ilvE slr0032,Synechocystis sp. (strain PCC 6803 / Kazusa),305,slr0032,ilvE,PATHWAY: Amino-acid biosynthesis; L-isoleucine biosynthesis; L-isoleucine from 2-oxobutanoate: step 4/4.; PATHWAY: Amino-acid biosynthesis; L-leucine biosynthesis; L-leucine from 3-methyl-2-oxobutanoate: step 4/4.; PATHWAY: Amino-acid biosynthesis; L-valine biosynthesis; L-valine from pyruvate: step 4/4.,GO:0009097; GO:0009098; GO:0009099; GO:0019752; GO:0050048; GO:0052654; GO:0052655; GO:0052656,NA,NA,slr0032
P54899,ARGC_SYNY3,N-acetyl-gamma-glutamyl-phosphate reductase (AGPR) (EC 1.2.1.38) (N-acetyl-glutamate semialdehyde dehydrogenase) (NAGSA dehydrogenase),argC sll0080,Synechocystis sp. (strain PCC 6803 / Kazusa),351,sll0080,argC,PATHWAY: Amino-acid biosynthesis; L-arginine biosynthesis; N(2)-acetyl-L-ornithine from L-glutamate: step 3/4. {ECO:0000255|HAMAP-Rule:MF_00150}.,GO:0003942; GO:0005737; GO:0006526; GO:0046983; GO:0051287,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00150}.,NA,sll0080
P54902,PROA1_SYNY3,Gamma-glutamyl phosphate reductase 1 (GPR 1) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase 1) (Glutamyl-gamma-semialdehyde dehydrogenase 1) (GSA dehydrogenase 1),proA1 proA sll0373,Synechocystis sp. (strain PCC 6803 / Kazusa),433,sll0373,proA1,PATHWAY: Amino-acid biosynthesis; L-proline biosynthesis; L-glutamate 5-semialdehyde from L-glutamate: step 2/2. {ECO:0000255|HAMAP-Rule:MF_00412}.,GO:0004350; GO:0005737; GO:0050661; GO:0055129,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00412}.,NA,sll0373
P54918,ALR_SYNY3,Alanine racemase (EC 5.1.1.1),alr slr0827,Synechocystis sp. (strain PCC 6803 / Kazusa),372,slr0827,alr,PATHWAY: Amino-acid biosynthesis; D-alanine biosynthesis; D-alanine from L-alanine: step 1/1. {ECO:0000255|HAMAP-Rule:MF_01201}.,GO:0005829; GO:0008784; GO:0030170; GO:0030632,NA,NA,slr0827
