Entry	Gene names	Gene names  (primary )	Protein names	Length	Mass	EC number	Cross-reference (KEGG)
P73638	cpcE slr1878	cpcE	Phycocyanobilin lyase subunit alpha (EC 4.-.-.-) (Phycocyanin operon protein CpcE)	272	29,393	4.-.-.-	syn:slr1878;
P46445	petJ sll1796	petJ	Cytochrome c6 (Cytochrome c-553) (Cytochrome c553) (Soluble cytochrome f)	120	12,463		syn:sll1796;
Q55013	psbV petK sll0258	psbV	Cytochrome c-550 (Cytochrome c549) (Cytochrome c550) (Low-potential cytochrome c)	160	17,884		syn:sll0258;
P74081	sll1253		A-adding tRNA nucleotidyltransferase (A-adding TNT) (EC 2.7.7.-) (A-adding enzyme)	942	105,906	2.7.7.-	syn:sll1253;
P74721	adhA slr1192	adhA	Aldehyde reductase AdhA (EC 1.1.1.2) (Alcohol dehydrogenase AdhA)	336	35,868	1.1.1.2	syn:slr1192;
P27183	atpF2 atpG sll1323	atpF2	ATP synthase subunit b' (ATP synthase F(0) sector subunit b') (ATPase subunit II) (F-type ATPase subunit b') (F-ATPase subunit b')	143	16,245		syn:sll1323;
P74551	apcF slr1459	apcF	Allophycocyanin subunit beta-18 (Allophycocyanin subunit B18)	169	18,892		syn:slr1459;
P73257	argH slr1133	argH	Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase)	461	50,948	4.3.2.1	syn:slr1133;
P27180	atpH atpD sll1325	atpH	ATP synthase subunit delta (ATP synthase F(1) sector subunit delta) (F-type ATPase subunit delta) (F-ATPase subunit delta)	185	20,093		syn:sll1325;
P26527	atpD atpB slr1329	atpD	ATP synthase subunit beta (EC 7.1.2.2) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)	483	51,733	7.1.2.2	syn:slr1329;
P52208	gnd sll0329	gnd	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	482	52,874	1.1.1.44	syn:sll0329;
P73548	cdsA slr1369	cdsA	Phosphatidate cytidylyltransferase (EC 2.7.7.41) (CDP-DAG synthase) (CDP-DG synthase) (CDP-diacylglycerol synthase) (CDS) (CDP-diglyceride pyrophosphorylase) (CDP-diglyceride synthase) (CTP:phosphatidate cytidylyltransferase)	293	31,876	2.7.7.41	syn:slr1369;
Q55607	chlB slr0772	chlB	Light-independent protochlorophyllide reductase subunit B (DPOR subunit B) (LI-POR subunit B) (EC 1.3.7.7)	508	56,952	1.3.7.7	syn:slr0772;
P54224	hemE slr0536	hemE	Uroporphyrinogen decarboxylase (UPD) (URO-D) (EC 4.1.1.37)	350	39,152	4.1.1.37	syn:slr0536;
P72721	dfa4 sll0219	dfa4	Putative diflavin flavoprotein A 4 (EC 1.-.-.-)	594	65,597	1.-.-.-	syn:sll0219;
P72856	dnaN slr0965	dnaN	Beta sliding clamp (Beta clamp) (Sliding clamp) (Beta-clamp processivity factor) (DNA polymerase III beta sliding clamp subunit) (DNA polymerase III subunit beta)	391	42,088		syn:slr0965;
P73922	slr2094		D-fructose 1,6-bisphosphatase class 2/sedoheptulose 1,7-bisphosphatase (FBPase class 2/SBPase) (EC 3.1.3.11) (EC 3.1.3.37)	345	37,075	3.1.3.11; 3.1.3.37	syn:slr2094;
P74122	argJ sll1883	argJ	Arginine biosynthesis bifunctional protein ArgJ [Cleaved into: Arginine biosynthesis bifunctional protein ArgJ alpha chain; Arginine biosynthesis bifunctional protein ArgJ beta chain] [Includes: Glutamate N-acetyltransferase (EC 2.3.1.35) (Ornithine acetyltransferase) (OATase) (Ornithine transacetylase); Amino-acid acetyltransferase (EC 2.3.1.1) (N-acetylglutamate synthase) (AGSase)]	413	43,320	2.3.1.35; 2.3.1.1	syn:sll1883;
P74304	cbiC cobH sll0916	cbiC	Cobalt-precorrin-8 methylmutase (EC 5.4.99.60) (Cobalt-precorrin isomerase)	217	23,363	5.4.99.60	syn:sll0916;
Q55515	coaE slr0553	coaE	Dephospho-CoA kinase (EC 2.7.1.24) (Dephosphocoenzyme A kinase)	201	22,520	2.7.1.24	syn:slr0553;
Q55462	cmpC slr0043	cmpC	Bicarbonate transport ATP-binding protein CmpC (EC 7.6.2.-)	667	74,097	7.6.2.-	syn:slr0043;
P73634	clpS ssl3379	clpS	ATP-dependent Clp protease adapter protein ClpS	98	11,151		syn:ssl3379;
P74334	sll1541		Apocarotenoid-15,15'-oxygenase (ACO) (8'-apo-beta-carotenal 15,15'-oxygenase) (EC 1.13.11.75) (Diox1)	490	54,286	1.13.11.75	syn:sll1541;
P77973	argG slr0585	argG	Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase)	400	44,485	6.3.4.5	syn:slr0585;
Q6ZEC6	cas2-2 ssr7072	cas2-2	CRISPR-associated endoribonuclease Cas2 2 (EC 3.1.-.-)	93	11,325	3.1.-.-	syn:ssr7072;
P74072	slr1336		Ca(2+)/H(+) antiporter (SynCAX)	372	39,311		syn:slr1336;
P42351	cytM sll1245	cytM	Cytochrome c-553-like	105	11,458		syn:sll1245;
P77967	cry phr phrB sll1629	cry	Cryptochrome DASH	489	57,040		syn:sll1629;
P73191	cofG sll1285	cofG	7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase (EC 4.3.1.32) (FO synthase subunit 1)	313	35,288	4.3.1.32	syn:sll1285;
P74667	dapF slr1665	dapF	Diaminopimelate epimerase (DAP epimerase) (EC 5.1.1.7) (PLP-independent amino acid racemase)	279	30,096	5.1.1.7	syn:slr1665;
P73212	dfrA slr1706	dfrA	Putative dihydroflavonol 4-reductase (DFR) (EC 1.1.1.219) (Dihydrokaempferol 4-reductase)	343	37,864	1.1.1.219	syn:slr1706;
P74308	slr0942		Aldo/keto reductase slr0942 (AKR) (EC 1.1.1.184) (AKR3G1)	327	36,014	1.1.1.184	syn:slr0942;
Q55467	chlM slr0525	chlM	Magnesium-protoporphyrin O-methyltransferase (EC 2.1.1.11) (Magnesium-protoporphyrin IX methyltransferase)	230	25,081	2.1.1.11	syn:slr0525;
Q55834	sll0477		Putative biopolymer transport protein ExbB-like 1	254	28,180		syn:sll0477;
Q55526	era slr0321	era	GTPase Era	315	34,792		syn:slr0321;
P72794	cysH slr1791	cysH	Phosphoadenosine 5'-phosphosulfate reductase (PAPS reductase) (EC 1.8.4.8) (3'-phosphoadenylylsulfate reductase) (PAPS reductase, thioredoxin dependent) (PAPS sulfotransferase) (PAdoPS reductase)	249	28,468	1.8.4.8	syn:slr1791;
P20388	desA slr1350	desA	Delta(12)-fatty-acid desaturase (EC 1.14.19.6)	351	40,495	1.14.19.6	syn:slr1350;
P73098	dnaK3 sll1932	dnaK3	Chaperone protein dnaK3 (HSP70-3) (Heat shock 70 kDa protein 3) (Heat shock protein 70-3)	771	86,030		syn:sll1932;
P73715	nth slr1822	nth	Endonuclease III (EC 4.2.99.18) (DNA-(apurinic or apyrimidinic site) lyase)	219	24,377	4.2.99.18	syn:slr1822;
Q55828	dapL sll0480	dapL	LL-diaminopimelate aminotransferase (DAP-AT) (DAP-aminotransferase) (LL-DAP-aminotransferase) (EC 2.6.1.83)	412	45,088	2.6.1.83	syn:sll0480;
P72588	ligA lig sll1209	ligA	DNA ligase (EC 6.5.1.2) (Polydeoxyribonucleotide synthase [NAD(+)])	669	74,602	6.5.1.2	syn:sll1209;
Q55835	futA2 idiA slr0513	futA2	Iron uptake protein A2 (Iron deficiency-induced protein A) (PP2)	346	38,156		syn:slr0513;
Q55650	bioU slr0355	bioU	(S)-8-amino-7-oxononanoate synthase BioU (EC 2.6.1.-) (8-amino-7-oxononanoate carboxylating dehydrogenase)	331	35,387	2.6.1.-	syn:slr0355;
P72749	bipA slr1105	bipA	50S ribosomal subunit assembly factor BipA (EC 3.6.5.-) (GTP-binding protein BipA)	597	66,013	3.6.5.-	syn:slr1105;
Q59977	gltA sll0401	gltA	Citrate synthase (EC 2.3.3.16)	397	44,831	2.3.3.16	syn:sll0401;
Q01895	cysT slr1453	cysT	Sulfate transport system permease protein CysT	286	31,351		syn:slr1453;
P77972	eno slr0752	eno	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	432	46,529	4.2.1.11	syn:slr0752;
Q55700	ftsH2 slr0228	ftsH2	ATP-dependent zinc metalloprotease FtsH 2 (EC 3.4.24.-)	627	68,496	3.4.24.-	syn:slr0228;
P23353	aroC sll1747	aroC	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	362	39,288	4.2.3.5	syn:sll1747;
Q05972	groL1 cpn60-1 groEL-1 groEL1 slr2076	groL1	60 kDa chaperonin 1 (GroEL protein 1) (Protein Cpn60 1)	541	57,653		syn:slr2076;
P72761	ccmK2 sll1028	ccmK2	Carboxysome shell protein CcmK2 (Carbon dioxide-concentrating mechanism protein CcmK2)	103	11,135		syn:sll1028;
P54416	clpP1 slr0542	clpP1	ATP-dependent Clp protease proteolytic subunit 1 (EC 3.4.21.92) (Endopeptidase Clp 1)	198	21,741	3.4.21.92	syn:slr0542;
Q55793	csd sufS slr0077	csd	Probable cysteine desulfurase (EC 2.8.1.7)	420	46,412	2.8.1.7	syn:slr0077;
P72811	cofH sll1659	cofH	5-amino-6-(D-ribitylamino)uracil--L-tyrosine 4-hydroxyphenyl transferase (EC 2.5.1.147) (FO synthase subunit 2)	392	43,332	2.5.1.147	syn:sll1659;
Q55663	dxr sll0019	dxr	1-deoxy-D-xylulose 5-phosphate reductoisomerase (DXP reductoisomerase) (EC 1.1.1.267) (1-deoxyxylulose-5-phosphate reductoisomerase) (2-C-methyl-D-erythritol 4-phosphate synthase)	394	42,532	1.1.1.267	syn:sll0019;
Q55687	sll0209		Long-chain acyl-[acyl-carrier-protein] reductase (AAR) (Acyl-ACP reductase) (EC 1.2.1.80)	340	37,651	1.2.1.80	syn:sll0209;
Q55128	aspC sll0402	aspC	Aspartate aminotransferase (AAT) (AspAT) (EC 2.6.1.1)	389	42,352	2.6.1.1	syn:sll0402;
Q55424	sll0828		Putative amidase (EC 3.5.1.4)	506	54,254	3.5.1.4	syn:sll0828;
P72584	acsF1 sll1214	acsF1	Magnesium-protoporphyrin IX monomethyl ester [oxidative] cyclase 1 (Mg-protoporphyrin IX monomethyl ester oxidative cyclase 1) (EC 1.14.13.81)	358	42,153	1.14.13.81	syn:sll1214;
P74312	arsH slr0945	arsH	NADPH-dependent quinone reductase ArsH (EC 1.6.5.2) (Arsenical resistance operon protein ArsH)	206	23,736	1.6.5.2	syn:slr0945;
P74475	cobD slr1925	cobD	Cobalamin biosynthesis protein CobD	342	37,431		syn:slr1925;
P17253	atpG atpC sll1327	atpG	ATP synthase gamma chain (ATP synthase F1 sector gamma subunit) (F-ATPase gamma subunit)	314	34,606		syn:sll1327;
P27181	atpF sll1324	atpF	ATP synthase subunit b (ATP synthase F(0) sector subunit b) (ATPase subunit I) (F-type ATPase subunit b) (F-ATPase subunit b)	179	19,804		syn:sll1324;
Q55415	bicA sll0834	bicA	Bicarbonate transporter BicA	564	59,049		syn:sll0834;
P74618	pgl devB sll1479	pgl	6-phosphogluconolactonase (6PGL) (EC 3.1.1.31)	240	26,482	3.1.1.31	syn:sll1479;
P53383	mrp slr0067	mrp	Iron-sulfur cluster carrier protein	353	37,131		syn:slr0067;
P27196	atpI sll1321	atpI	ATP synthase protein I	117	12,972		syn:sll1321;
P72966	btpA sll0634	btpA	Photosystem I biogenesis protein BtpA	287	30,042		syn:sll0634;
P73163	sll1298		Putative carboxymethylenebutenolidase (EC 3.1.1.45) (Dienelactone hydrolase) (DLH)	246	26,942	3.1.1.45	syn:sll1298;
P74733	arcC sll0573	arcC	Carbamate kinase (EC 2.7.2.2)	308	32,935	2.7.2.2	syn:sll0573;
P37367	pma1 sll1614	pma1	Cation-transporting ATPase pma1 (EC 7.2.2.-)	905	97,590	7.2.2.-	syn:sll1614;
Q55435	coaD kdtB slr0847	coaD	Phosphopantetheine adenylyltransferase (EC 2.7.7.3) (Dephospho-CoA pyrophosphorylase) (Pantetheine-phosphate adenylyltransferase) (PPAT)	159	17,593	2.7.7.3	syn:slr0847;
P49995	dnaA sll0848	dnaA	Chromosomal replication initiator protein DnaA	447	50,050		syn:sll0848;
Q55154	dnaK1 sll0058	dnaK1	Chaperone protein dnaK1 (HSP70-1) (Heat shock 70 kDa protein 1) (Heat shock protein 70-1)	692	75,179		syn:sll0058;
P73997	aroB slr2130	aroB	3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)	361	38,855	4.2.3.4	syn:slr2130;
P73407	ccmK4 slr1839	ccmK4	Carboxysome shell protein CcmK4 (Carbon dioxide-concentrating mechanism protein CcmK4)	112	11,903		syn:slr1839;
P73410	cysK slr1842	cysK	Cysteine synthase (CSase) (EC 2.5.1.47) (O-acetylserine (thiol)-lyase) (OAS-TL) (O-acetylserine sulfhydrylase)	312	33,173	2.5.1.47	syn:slr1842;
Q57038	petB slr0342	petB	Cytochrome b6	222	25,055		syn:slr0342;
P74120	der engA slr1974	der	GTPase Der (GTP-binding protein EngA)	452	50,826		syn:slr1974;
P72872	dus2 sll0926	dus2	tRNA-dihydrouridine(20/20a) synthase (EC 1.3.1.-) (EC 1.3.1.91) (DusA-like U20-specific dihydrouridine synthase) (U20-specific Dus) (tRNA-dihydrouridine synthase 2)	334	37,929	1.3.1.-; 1.3.1.91	syn:sll0926;
Q55756	carB sll0370	carB	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase ammonia chain)	1081	119,031	6.3.5.5	syn:sll0370;
P72757	ccmN sll1032	ccmN	Carboxysome assembly protein CcmN (Carbon dioxide concentrating mechanism protein CcmN)	241	25,057		syn:sll1032;
Q55544	apcE slr0335	apcE	Phycobiliprotein ApcE (EC 4.-.-.-) (Phycobilisome LCM core-membrane linker polypeptide) (Phycobilisome core-membrane linker phycobiliprotein ApcE)	896	100,296	4.-.-.-	syn:slr0335;
Q55373	bchE slr0905	bchE	Anaerobic magnesium-protoporphyrin IX monomethyl ester cyclase (MPE cyclase) (EC 1.21.98.3)	499	57,793	1.21.98.3	syn:slr0905;
Q55461	cmpB slr0041	cmpB	Bicarbonate transport system permease protein CmpB	280	31,023		syn:slr0041;
Q55669	ctpA slr0008	ctpA	Carboxyl-terminal-processing protease (EC 3.4.21.102) (CtpA)	427	46,691	3.4.21.102	syn:slr0008;
Q55513	dapA slr0550	dapA	4-hydroxy-tetrahydrodipicolinate synthase (HTPA synthase) (EC 4.3.3.7)	301	31,821	4.3.3.7	syn:slr0550;
Q55505	dnaJ1 sll0897	dnaJ1	Chaperone protein DnaJ 1	377	40,794		syn:sll0897;
Q55550	ccmP slr0169	ccmP	Carboxysome shell protein CcmP (Carbon dioxide concentrating mechanism protein CcmP)	213	22,745		syn:slr0169;
P74638	accA sll0728	accA	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	326	36,042	2.1.3.15	syn:sll0728;
P73367	aroQ sll1112	aroQ	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	152	16,375	4.2.1.10	syn:sll1112;
P73423	cbiD slr1538	cbiD	Cobalt-precorrin-5B C(1)-methyltransferase (EC 2.1.1.195) (Cobalt-precorrin-6A synthase)	378	40,799	2.1.1.195	syn:slr1538;
Q55087	chlP sll1091	chlP	Geranylgeranyl diphosphate reductase (EC 1.3.1.83) (Geranylgeranyl reductase)	407	44,883	1.3.1.83	syn:sll1091;
P72760	ccmK1 sll1029	ccmK1	Carboxysome shell protein CcmK1 (Carbon dioxide-concentrating mechanism protein CcmK1)	111	12,102		syn:sll1029;
P73832	cphB slr2001	cphB	Cyanophycinase (EC 3.4.15.6)	271	29,390	3.4.15.6	syn:slr2001;
P74089	cysE slr1348	cysE	Serine acetyltransferase (SAT) (EC 2.3.1.30)	249	27,336	2.3.1.30	syn:slr1348;
P74143	dnaG sll1868	dnaG	DNA primase (EC 2.7.7.101)	635	73,079	2.7.7.101	syn:sll1868;
P74373	dfa3 sll1521	dfa3	Putative diflavin flavoprotein A 3 (EC 1.-.-.-)	597	65,093	1.-.-.-	syn:sll1521;
Q57417	accD zfpA sll0336	accD	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	326	36,396	2.1.3.15	syn:sll0336;
Q55428	sll0825		CC-adding tRNA nucleotidyltransferase (C-adding TNT) (EC 2.7.7.-) (CC-adding enzyme)	416	46,388	2.7.7.-	syn:sll0825;
P73097	dnaJ2 sll1933	dnaJ2	Chaperone protein DnaJ 2	307	34,698		syn:sll1933;
P74309	fda fbaB slr0943	fda	Fructose-bisphosphate aldolase class 1 (EC 4.1.2.13) (Fructose-bisphosphate aldolase class I) (FBP aldolase)	300	33,149	4.1.2.13	syn:slr0943;
P72870	apcD sll0928	apcD	Allophycocyanin subunit alpha-B	161	17,923		syn:sll0928;
P54899	argC sll0080	argC	N-acetyl-gamma-glutamyl-phosphate reductase (AGPR) (EC 1.2.1.38) (N-acetyl-glutamate semialdehyde dehydrogenase) (NAGSA dehydrogenase)	351	38,209	1.2.1.38	syn:sll0080;
Q59975	aroA slr0444	aroA	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	447	47,047	2.5.1.19	syn:slr0444;
P74591	aroE slr1559	aroE	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	290	31,099	1.1.1.25	syn:slr1559;
P27182	atpE atpH ssl2615	atpE	ATP synthase subunit c (ATP synthase F(0) sector subunit c) (F-type ATPase subunit c) (F-ATPase subunit c) (Lipid-binding protein)	81	7,968		syn:ssl2615;
P74388	sll0418		2-methyl-6-phytyl-1,4-hydroquinone methyltransferase (EC 2.1.1.295) (2-methyl-6-phytylbenzoquinone/2-methyl-6-solanyl-1,4-benzoquinone methyltransferase) (MPBQ/MSBQ methyltransferase)	318	34,947	2.1.1.295	syn:sll0418;
P73538	bioB slr1364	bioB	Biotin synthase (EC 2.8.1.6)	362	39,350	2.8.1.6	syn:slr1364;
Q79EF2	ctaB sll1899	ctaB	Protoheme IX farnesyltransferase (EC 2.5.1.141) (Heme B farnesyltransferase) (Heme O synthase)	316	34,858	2.5.1.141	syn:sll1899;
Q55484	lysA sll0504	lysA	Diaminopimelate decarboxylase (DAP decarboxylase) (DAPDC) (EC 4.1.1.20)	469	50,848	4.1.1.20	syn:sll0504;
P73016	fabI envM slr1051	fabI	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI (ENR) (EC 1.3.1.9) (NADH-dependent enoyl-ACP reductase)	258	27,626	1.3.1.9	syn:slr1051;
P73283	fabF sll1069	fabF	3-oxoacyl-[acyl-carrier-protein] synthase 2 (EC 2.3.1.179) (3-oxoacyl-[acyl-carrier-protein] synthase II) (Beta-ketoacyl-ACP synthase II) (KAS II)	416	44,004	2.3.1.179	syn:sll1069;
Q55781	ftrV ssr0330	ftrV	Ferredoxin-thioredoxin reductase, variable chain (FTR-V) (Ferredoxin-thioredoxin reductase subunit A) (FTR-A)	75	8,558		syn:ssr0330;
P72991	ftsH3 slr1604	ftsH3	ATP-dependent zinc metalloprotease FtsH 3 (EC 3.4.24.-)	616	67,250	3.4.24.-	syn:slr1604;
P73672	ispG gcpE slr2136	ispG	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (ferredoxin) (EC 1.17.7.1) (1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase)	403	44,176	1.17.7.1	syn:slr2136;
Q55512	asd slr0549	asd	Aspartate-semialdehyde dehydrogenase (ASA dehydrogenase) (ASADH) (EC 1.2.1.11) (Aspartate-beta-semialdehyde dehydrogenase)	338	36,641	1.2.1.11	syn:slr0549;
P73182	feoB slr1392	feoB	Fe(2+) transporter FeoB (Ferrous iron transport protein B homolog)	614	67,405		syn:slr1392;
Q55721	slr0642		Folate-biopterin transporter	494	53,586		syn:slr0642;
Q55797	gmhA sll0083	gmhA	Phosphoheptose isomerase (EC 5.3.1.28) (Sedoheptulose 7-phosphate isomerase)	194	21,137	5.3.1.28	syn:sll0083;
Q06474	ctaC coxB slr1136	ctaC	Cytochrome c oxidase subunit 2 (EC 7.1.1.9) (Cytochrome aa3 subunit 2) (Cytochrome c oxidase polypeptide II) (Oxidase aa(3) subunit 2)	332	35,917	7.1.1.9	syn:slr1136;
P74548	cysA slr1455	cysA	Sulfate/thiosulfate import ATP-binding protein CysA (EC 7.3.2.3) (Sulfate-transporting ATPase)	355	39,195	7.3.2.3	syn:slr1455;
P73618	deoC sll1776	deoC	Deoxyribose-phosphate aldolase (DERA) (EC 4.1.2.4) (2-deoxy-D-ribose 5-phosphate aldolase) (Phosphodeoxyriboaldolase) (Deoxyriboaldolase)	225	23,874	4.1.2.4	syn:sll1776;
P52983	pgi slr1349	pgi	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)	531	58,356	5.3.1.9	syn:slr1349;
P73301	infA ssl3441	infA	Translation initiation factor IF-1	75	8,681		syn:ssl3441;
P74263	hypA1 hypA slr1675	hypA1	Hydrogenase maturation factor HypA 1	113	12,773		syn:slr1675;
P73269	hypA2 sll1078	hypA2	Hydrogenase maturation factor HypA 2	120	13,785		syn:sll1078;
P80507	ppa ipyR slr1622	ppa	Inorganic pyrophosphatase (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase) (PPase)	169	19,088	3.6.1.1	syn:slr1622;
P74218	hypB sll1432	hypB	Hydrogenase maturation factor HypB	285	31,243		syn:sll1432;
P74095	hypC ssl3580	hypC	Hydrogenase maturation factor HypC	76	7,987		syn:ssl3580;
P80046	icd slr1289	icd	Isocitrate dehydrogenase [NADP] (IDH) (EC 1.1.1.42) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	475	52,275	1.1.1.42	syn:slr1289;
P74257	glpD sll1085	glpD	Glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)	553	61,575	1.1.5.3	syn:sll1085;
P72836	crcB sll1192	crcB	Putative fluoride ion transporter CrcB	130	13,586		syn:sll1192;
Q55855	glk sll0593	glk	Glucokinase (EC 2.7.1.2) (Glucose kinase)	355	37,712	2.7.1.2	syn:sll0593;
Q55504	glmU sll0899	glmU	Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23) (N-acetylglucosamine-1-phosphate uridyltransferase); Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)]	456	48,923	2.7.7.23; 2.3.1.157	syn:sll0899;
P74561	hisA slr0652	hisA	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase (EC 5.3.1.16) (Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase)	256	27,350	5.3.1.16	syn:slr0652;
P73492	ssr2061		Probable glutaredoxin ssr2061	88	9,735		syn:ssr2061;
Q55503	hisG sll0900	hisG	ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)	210	23,436	2.4.2.17	syn:sll0900;
P73848	fabZ sll1605	fabZ	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ (EC 4.2.1.59) ((3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase) ((3R)-hydroxymyristoyl-ACP dehydrase) (Beta-hydroxyacyl-ACP dehydratase)	164	17,942	4.2.1.59	syn:sll1605;
P73648	glmM sll1758	glmM	Phosphoglucosamine mutase (EC 5.4.2.10)	481	51,677	5.4.2.10	syn:sll1758;
Q08871	des6 sll0262	des6	Acyl-CoA 6-desaturase (EC 1.14.19.3) (Delta(6)-desaturase) (Linoleoyl-CoA desaturase)	359	41,425	1.14.19.3	syn:sll0262;
P74324	fbp slr0952	fbp	Fructose-1,6-bisphosphatase class 1 (FBPase class 1) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1)	347	38,262	3.1.3.11	syn:slr0952;
P73574	fabG slr0886	fabG	3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100) (3-ketoacyl-acyl carrier protein reductase)	247	25,724	1.1.1.100	syn:slr0886;
Q79EE4	ggtA slr0747	ggtA	Osmoprotective compounds uptake ATP-binding protein GgtA (EC 7.5.2.-)	363	40,756	7.5.2.-	syn:slr0747;
P73807	hisC sll1958	hisC	Histidinol-phosphate aminotransferase (EC 2.6.1.9) (Imidazole acetol-phosphate transaminase)	349	38,702	2.6.1.9	syn:sll1958;
P72736	folK slr1093	folK	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3) (6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase) (PPPK) (7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase) (HPPK)	195	21,237	2.7.6.3	syn:slr1093;
Q55819	sll0486		KaiB-like protein 2	102	11,657		syn:sll0486;
P73646	thrB sll1760	thrB	Homoserine kinase (HK) (HSK) (EC 2.7.1.39)	306	32,427	2.7.1.39	syn:sll1760;
Q55848	prs prsA sll0469	prs	Ribose-phosphate pyrophosphokinase (RPPK) (EC 2.7.6.1) (5-phospho-D-ribosyl alpha-1-diphosphate) (Phosphoribosyl diphosphate synthase) (Phosphoribosyl pyrophosphate synthase) (P-Rib-PP synthase) (PRPP synthase) (PRPPase)	333	36,396	2.7.6.1	syn:sll0469;
P73560	gcvH slr0879	gcvH	Glycine cleavage system H protein	132	14,580		syn:slr0879;
P74521	glgA1 glgA sll0945	glgA1	Glycogen synthase 1 (EC 2.4.1.21) (Starch [bacterial glycogen] synthase 1)	477	54,346	2.4.1.21	syn:sll0945;
P74432	slr0402		dITP/XTP pyrophosphatase (EC 3.6.1.66) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase)	194	21,188	3.6.1.66	syn:slr0402;
P26287	petA sll1317	petA	Cytochrome f	328	35,231		syn:sll1317;
Q55367	cynS slr0899	cynS	Cyanate hydratase (Cyanase) (EC 4.2.1.104) (Cyanate hydrolase) (Cyanate lyase)	149	16,532	4.2.1.104	syn:slr0899;
P54386	gdhA slr0710	gdhA	NADP-specific glutamate dehydrogenase (NADP-GDH) (EC 1.4.1.4)	428	47,313	1.4.1.4	syn:slr0710;
P73869	kdpC slr1730	kdpC	Potassium-transporting ATPase KdpC subunit (ATP phosphohydrolase [potassium-transporting] C chain) (Potassium-binding and translocating subunit C) (Potassium-translocating ATPase C chain)	190	20,294		syn:slr1730;
P72652	cpcF sll1051	cpcF	Phycocyanin alpha phycocyanobilin lyase CpcF	214	23,179		syn:sll1051;
Q06475	ctaE slr1138	ctaE	Cytochrome c oxidase subunit 3 (EC 7.1.1.9) (Cytochrome aa3 subunit 3) (Cytochrome c oxidase polypeptide III) (Oxidase aa(3) subunit 3)	233	26,083	7.1.1.9	syn:slr1138;
P74227	tuf tufA sll1099	tuf	Elongation factor Tu (EF-Tu)	399	43,733		syn:sll1099;
Q55119	efp slr0434	efp	Elongation factor P (EF-P)	187	20,406		syn:slr0434;
P74215	gatB sll1435	gatB	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B (Asp/Glu-ADT subunit B) (EC 6.3.5.-)	495	54,717	6.3.5.-	syn:sll1435;
P73211	slr1705		Probable aspartoacylase (EC 3.5.1.15)	288	32,198	3.5.1.15	syn:slr1705;
