GeneID,psortB_localization,psortB_score,Process,Pathway,Protein,Entry,Entry.name,Status,Protein.names,Gene.names,EC.number,Catalytic.activity,Cofactor,Function..CC.,Gene.ontology..GO.,Gene.ontology..biological.process.,Gene.ontology..molecular.function.,Gene.ontology..cellular.component.,Gene.ontology.IDs,GRAVY,Length,ExposedAA,First60AA,Helices,Topology,MolWeight,Process.abbr,Pathway.abbr,location,start_bp,end_bp
sll0572,Cytoplasmic,8.96,Hypothetical,Hypothetical,hypothetical protein,P74734,P74734_SYNY3,unreviewed,Sll0572 protein,sll0572,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.07957446808511,470,0.02,0,0,o,52.03,Hypoth,Hypothetical,Chr,3545120,3546532
sll0573,Cytoplasmic,9.97,Energy metabolism,Amino acids and amines,carbamate kinase,P74733,ARCC_SYNY3,reviewed,Carbamate kinase (EC 2.7.2.2),arcC sll0573,2.7.2.2,CATALYTIC ACTIVITY: ATP + NH(3) + CO(2) = ADP + carbamoyl phosphate.,NA,NA,cytosol [GO:0005829]; ATP binding [GO:0005524]; carbamate kinase activity [GO:0008804]; arginine deiminase pathway [GO:0019546]; carbamoyl phosphate catabolic process [GO:0035975],arginine deiminase pathway [GO:0019546]; carbamoyl phosphate catabolic process [GO:0035975],ATP binding [GO:0005524]; carbamate kinase activity [GO:0008804],cytosol [GO:0005829],GO:0005524; GO:0019546; GO:0008804; GO:0035975; GO:0005829,-0.01201298701299,308,0.38,0.01,0,o,32.94,Energy,Amino acids and am,Chr,3544207,3545133
sll0574,CytoplasmicMembrane,10,Transport and binding proteins,Transport and binding proteins,probable permease protein of lipopolysaccharide ABC transporter,NA,NA,NA,NA,sll0574,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86937269372694,271,135.39,22.07,6,i37-59o64-86i114-136o156-178i185-207o241-260i,30.31,Transport,Transport and bind,Chr,3542121,3542936
sll0575,CytoplasmicMembrane,7.88,Transport and binding proteins,Transport and binding proteins,probable lipopolysaccharide ABC transporter ATP binding subunit,NA,NA,NA,NA,sll0575,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,254,0.22,0,0,o,28.19,Transport,Transport and bind,Chr,3541344,3542108
sll0576,Cytoplasmic,8.96,Other categories,Other,putative sugar-nucleotide epimerase/dehydratease,P74729,P74729_SYNY3,unreviewed,HrEpiB,sll0576,NA,NA,NA,NA,catalytic activity [GO:0003824]; coenzyme binding [GO:0050662],NA,catalytic activity [GO:0003824]; coenzyme binding [GO:0050662],NA,GO:0003824; GO:0050662,-0.03814102564103,312,20.66,20.59,1,i5-27o,34.96,Other,Other,Chr,3540326,3541264
sll0577,Unknown,2.5,Hypothetical,Hypothetical,hypothetical protein,P74725,P74725_SYNY3,unreviewed,Sll0577 protein,sll0577,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32603550295858,169,16.54,15.79,0,o,17.84,Hypoth,Hypothetical,Chr,3537706,3538215
sll0578,CytoplasmicMembrane,7.88,"Purines, pyrimidines, nucleosides, and nucleotides",Purine ribonucleotide biosynthesis,phosphoribosylaminoimidazole carboxylase ATPase subunit,P74724,PURK_SYNY3,reviewed,N5-carboxyaminoimidazole ribonucleotide synthase (N5-CAIR synthase) (EC 6.3.4.18) (5-(carboxyamino)imidazole ribonucleotide synthetase),purK sll0578,6.3.4.18,CATALYTIC ACTIVITY: ATP + 5-amino-1-(5-phospho-D-ribosyl)imidazole + HCO(3)(-) = ADP + phosphate + 5-carboxyamino-1-(5-phospho-D-ribosyl)imidazole. {ECO:0000255|HAMAP-Rule:MF_01928}.,NA,FUNCTION: Catalyzes the ATP-dependent conversion of 5-aminoimidazole ribonucleotide (AIR) and HCO(3)(-) to N5-carboxyaminoimidazole ribonucleotide (N5-CAIR). {ECO:0000255|HAMAP-Rule:MF_01928}.,cytosol [GO:0005829]; 5-(carboxyamino)imidazole ribonucleotide synthase activity [GO:0034028]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; phosphoribosylaminoimidazole carboxylase activity [GO:0004638]; phosphoribosylaminoimidazolesuccinocarboxamide synthase activity [GO:0004639]; 'de novo' IMP biosynthetic process [GO:0006189]; adenine biosynthetic process [GO:0046084],'de novo' IMP biosynthetic process [GO:0006189]; adenine biosynthetic process [GO:0046084],5-(carboxyamino)imidazole ribonucleotide synthase activity [GO:0034028]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; phosphoribosylaminoimidazole carboxylase activity [GO:0004638]; phosphoribosylaminoimidazolesuccinocarboxamide synthase activity [GO:0004639],cytosol [GO:0005829],GO:0006189; GO:0034028; GO:0005524; GO:0046084; GO:0005829; GO:0046872; GO:0004638; GO:0004639,-0.11469072164948001,388,1.06,0.92,0,o,42.65,Nucleot,Purine ribonucleot,Chr,3536464,3537630
sll0584,CytoplasmicMembrane,9.82,Hypothetical,Hypothetical,hypothetical protein YCF36,NA,NA,NA,NA,sll0584,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21271676300578,173,58.13,12.37,3,o46-68i75-97o154-172i,19.94,Hypoth,Hypothetical,Chr,2962706,2963227
sll0585,Cytoplasmic,8.96,Energy metabolism,Amino acids and amines,cofG FO synthase subunit 1,Q55865,Q55865_SYNY3,unreviewed,Sll0585 protein,cofG sll0585,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11261829652997,317,0.02,0,0,o,34.73,Energy,Amino acids and am,Chr,2961619,2962572
sll0586,Cytoplasmic,9.26,Hypothetical,Hypothetical,hypothetical protein,Q55864,Q55864_SYNY3,unreviewed,Sll0586 protein,sll0586,NA,NA,NA,NA,oxidoreductase activity [GO:0016491],NA,oxidoreductase activity [GO:0016491],NA,GO:0016491,-0.13137254901961,408,8.3,8.27,0,o,44.53,Hypoth,Hypothetical,Chr,2959530,2960756
sll0587,Cytoplasmic,9.97,Energy metabolism,Glycolysis,pyruvate kinase,Q55863,KPYK1_SYNY3,reviewed,Pyruvate kinase 1 (PK 1) (EC 2.7.1.40),pyk1 sll0587,2.7.1.40,CATALYTIC ACTIVITY: ATP + pyruvate = ADP + phosphoenolpyruvate.,COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; ; COFACTOR: Name=K(+); Xref=ChEBI:CHEBI:29103;,NA,ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; potassium ion binding [GO:0030955]; pyruvate kinase activity [GO:0004743],NA,ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; potassium ion binding [GO:0030955]; pyruvate kinase activity [GO:0004743],NA,GO:0005524; GO:0016301; GO:0000287; GO:0030955; GO:0004743,-0.04080338266385,473,0.02,0,0,o,52,Energy,Glycolysis,Chr,2958036,2959457
sll0588,Unknown,2,Unknown,Unknown,unknown protein,Q55862,Q55862_SYNY3,unreviewed,Sll0588 protein,sll0588,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06274509803922,153,0.04,0.03,0,o,16.52,Unknown,Unknown,Chr,2957479,2957940
sll0590,CytoplasmicMembrane,10,Unknown,Unknown,unknown protein,Q55859,Q55859_SYNY3,unreviewed,Sll0590 protein,sll0590,NA,NA,NA,NA,cell [GO:0005623]; integral component of membrane [GO:0016021]; mechanically-gated ion channel activity [GO:0008381]; cellular water homeostasis [GO:0009992]; ion transmembrane transport [GO:0034220],cellular water homeostasis [GO:0009992]; ion transmembrane transport [GO:0034220],mechanically-gated ion channel activity [GO:0008381],cell [GO:0005623]; integral component of membrane [GO:0016021],GO:0005623; GO:0009992; GO:0016021; GO:0034220; GO:0008381,0.39840425531915,564,133.92,21.93,6,o4-26i157-179o222-244i277-299o319-341i354-376o,63.35,Unknown,Unknown,Chr,2952561,2954255
sll0593,Cytoplasmic,9.26,Energy metabolism,Glycolysis,glucokinase,Q55855,GLK_SYNY3,reviewed,Glucokinase (EC 2.7.1.2) (Glucose kinase),glk sll0593,2.7.1.2,CATALYTIC ACTIVITY: ATP + D-glucose = ADP + D-glucose 6-phosphate. {ECO:0000255|HAMAP-Rule:MF_00524}.,NA,NA,cytoplasm [GO:0005737]; ATP binding [GO:0005524]; glucokinase activity [GO:0004340]; glycolytic process [GO:0006096],glycolytic process [GO:0006096],ATP binding [GO:0005524]; glucokinase activity [GO:0004340],cytoplasm [GO:0005737],GO:0005524; GO:0005737; GO:0004340; GO:0006096,0.20112676056338,355,2.8,0.08,0,o,37.72,Energy,Glycolysis,Chr,2945070,2946137
sll0594,Cytoplasmic,9.26,Regulatory functions,Regulatory functions,transcriptional regulator,Q55854,CYSR_SYNY3,reviewed,Regulatory protein CysR homolog,cysR sll0594,NA,NA,NA,FUNCTION: Probably regulates the expression of genes from the sulfate permease complex. {ECO:0000250}.,"cytoplasm [GO:0005737]; DNA binding [GO:0003677]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; sulfate transport [GO:0008272]; transcription, DNA-templated [GO:0006351]","sulfate transport [GO:0008272]; transcription, DNA-templated [GO:0006351]","DNA binding [GO:0003677]; transcription factor activity, sequence-specific DNA binding [GO:0003700]",cytoplasm [GO:0005737],GO:0003677; GO:0005737; GO:0008272; GO:0003700; GO:0006351,-0.1019512195122,205,0.01,0,0,o,22.66,Regul,Regulatory functio,Chr,2944272,2944889
sll0595,Unknown,2,Unknown,Unknown,unknown protein,Q55853,Q55853_SYNY3,unreviewed,Sll0595 protein,sll0595,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04755244755245,143,10.6,9.63,0,o,15.78,Unknown,Unknown,Chr,2943770,2944201
sll0596,Unknown,2,Hypothetical,Hypothetical,hypothetical protein,Q55852,Q55852_SYNY3,unreviewed,Sll0596 protein,sll0596,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.12991803278689,244,0.21,0.03,0,o,26.33,Hypoth,Hypothetical,Chr,2943000,2943734
sll0597,CytoplasmicMembrane,10,Hypothetical,Hypothetical,hypothetical protein,Q55851,Q55851_SYNY3,unreviewed,Sll0597 protein,sll0597,NA,NA,NA,NA,integral component of membrane [GO:0016021]; heme transporter activity [GO:0015232]; cytochrome complex assembly [GO:0017004],cytochrome complex assembly [GO:0017004],heme transporter activity [GO:0015232],integral component of membrane [GO:0016021],GO:0017004; GO:0015232; GO:0016021,0.89306666666667,375,173,26.99,8,i25-42o52-74i81-103o172-194i223-245o250-272i279-301o321-343i,40.81,Hypoth,Hypothetical,Chr,2941756,2942883
sll0601,Cytoplasmic,9.26,Amino acid biosynthesis,Glutamate family / Nitrogen assimilation,nitrilase homolog,P55175,Y601_SYNY3,reviewed,Hydrolase sll0601 (EC 3.5.-.-),sll0601,3.5.-.-,NA,NA,NA,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds [GO:0016810]; nitrogen compound metabolic process [GO:0006807]",nitrogen compound metabolic process [GO:0006807],"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds [GO:0016810]",NA,GO:0016810; GO:0006807,-0.16654411764706,272,0.04,0,0,o,30.2,AminoAcids,Glutamate family /,Chr,2676937,2677755
sll0602,Cytoplasmic,8.96,Hypothetical,Hypothetical,hypothetical protein,Q55726,Q55726_SYNY3,unreviewed,Sll0602 protein,sll0602,NA,NA,NA,NA,integral component of membrane [GO:0016021]; protein serine/threonine phosphatase activity [GO:0004722],NA,protein serine/threonine phosphatase activity [GO:0004722],integral component of membrane [GO:0016021],GO:0016021; GO:0004722,-0.32098408104197,691,20.94,0,1,o648-670i,77.78,Hypoth,Hypothetical,Chr,2671895,2673970
sll0603,Unknown,2,"Biosynthesis of cofactors, prosthetic groups, and carriers",Menaquinone and ubiquinone,menaquinone biosynthesis protein MenD,Q55725,MEND_SYNY3,reviewed,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase (SEPHCHC synthase) (EC 2.2.1.9),menD sll0603,2.2.1.9,CATALYTIC ACTIVITY: Isochorismate + 2-oxoglutarate = 5-enolpyruvoyl-6-hydroxy-2-succinyl-cyclohex-3-ene-1-carboxylate + CO(2). {ECO:0000255|HAMAP-Rule:MF_01659}.,COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000255|HAMAP-Rule:MF_01659}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000255|HAMAP-Rule:MF_01659}; ; COFACTOR: Name=thiamine diphosphate; Xref=ChEBI:CHEBI:58937; Evidence={ECO:0000255|HAMAP-Rule:MF_01659}; ;  Note=Binds 1 thiamine pyrophosphate per subunit. {ECO:0000255|HAMAP-Rule:MF_01659};,FUNCTION: Catalyzes the thiamine diphosphate-dependent decarboxylation of 2-oxoglutarate and the subsequent addition of the resulting succinic semialdehyde-thiamine pyrophosphate anion to isochorismate to yield 2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate (SEPHCHC). {ECO:0000255|HAMAP-Rule:MF_01659}.,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase activity [GO:0070204]; magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]; thiamine pyrophosphate binding [GO:0030976]; menaquinone biosynthetic process [GO:0009234]; phylloquinone biosynthetic process [GO:0042372],menaquinone biosynthetic process [GO:0009234]; phylloquinone biosynthetic process [GO:0042372],2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase activity [GO:0070204]; magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]; thiamine pyrophosphate binding [GO:0030976],NA,GO:0070204; GO:0000287; GO:0030145; GO:0009234; GO:0042372; GO:0030976,-0.06134453781513,595,0.22,0.03,0,o,66.15,Cofactors,Menaquinone and ub,Chr,2670115,2671902
sll0606,Unknown,6.53,Transport and binding proteins,Transport and binding proteins,cofH FO synthase subunit 2,Q55723,Q55723_SYNY3,unreviewed,Sll0606 protein,cofH sll0606,NA,NA,NA,NA,integral component of membrane [GO:0016021]; amino acid transport [GO:0006865],amino acid transport [GO:0006865],NA,integral component of membrane [GO:0016021],GO:0006865; GO:0016021,-0.05924369747899,476,21.95,21.9,1,i19-41o,50.69,Transport,Transport and bind,Chr,2667542,2668972
sll0608,CytoplasmicMembrane,9.46,Hypothetical,Hypothetical,hypothetical protein YCF49,Q55720,YC49L_SYNY3,reviewed,Ycf49-like protein,sll0608,NA,NA,NA,NA,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],NA,NA,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],GO:0016021; GO:0005886,0.54134615384615,104,67.01,43.27,3,o5-27i39-61o71-93i,11.52,Hypoth,Hypothetical,Chr,2663686,2664000
sll0609,CytoplasmicMembrane,10,Hypothetical,Hypothetical,hypothetical protein,Q55719,Q55719_SYNY3,unreviewed,Sll0609 protein,sll0609,NA,NA,NA,NA,integral component of membrane [GO:0016021],NA,NA,integral component of membrane [GO:0016021],GO:0016021,0.52264150943396,106,61.22,40.75,3,o10-27i36-58o73-95i,11.97,Hypoth,Hypothetical,Chr,2663366,2663686
sll0611,Unknown,2,Hypothetical,Hypothetical,hypothetical protein,Q55713,Q55713_SYNY3,unreviewed,Sll0611 protein,sll0611,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.32972972972973,148,0,0,0,o,16.86,Hypoth,Hypothetical,Chr,2657148,2657594
sll0613,Cytoplasmic,9.97,"DNA replication, restriction, modification, recombination, and repair","DNA replication, restriction, modification, recombination, and repair",Holliday junction DNA helicase RuvB,Q57396,RUVB_SYNY3,reviewed,Holliday junction ATP-dependent DNA helicase RuvB (EC 3.6.4.12),ruvB sll0613,3.6.4.12,CATALYTIC ACTIVITY: ATP + H(2)O = ADP + phosphate. {ECO:0000255|HAMAP-Rule:MF_00016}.,NA,"FUNCTION: The RuvA-RuvB complex in the presence of ATP renatures cruciform structure in supercoiled DNA with palindromic sequence, indicating that it may promote strand exchange reactions in homologous recombination. RuvAB is a helicase that mediates the Holliday junction migration by localized denaturation and reannealing. {ECO:0000255|HAMAP-Rule:MF_00016}.; FUNCTION: Participates in UV-tolerance of Synechocystis PCC 6803. {ECO:0000269|PubMed:15225304}.",ATP binding [GO:0005524]; DNA binding [GO:0003677]; four-way junction helicase activity [GO:0009378]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; SOS response [GO:0009432],DNA recombination [GO:0006310]; DNA repair [GO:0006281]; SOS response [GO:0009432],ATP binding [GO:0005524]; DNA binding [GO:0003677]; four-way junction helicase activity [GO:0009378],NA,GO:0005524; GO:0003677; GO:0006310; GO:0006281; GO:0009432; GO:0009378,-0.21357340720222,361,0.49,0,0,o,40.06,DNArep,"DNA replication, r",Chr,2651866,2652951
sll0614,Cytoplasmic,8.96,Unknown,Unknown,unknown protein,Q79F24,Q79F24_SYNY3,unreviewed,Sll0614 protein,sll0614,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.20075757575758,132,0,0,0,o,14.92,Unknown,Unknown,Chr,2651440,2651838
sll0615,CytoplasmicMembrane,10,Hypothetical,Hypothetical,hypothetical protein,P52876,Y615_SYNY3,reviewed,GDT1-like protein sll0615,sll0615,NA,NA,NA,NA,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],NA,NA,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],GO:0016021; GO:0005886,0.76650485436893,206,101.71,37.8,4,i36-58o62-84i148-170o185-202i,22.38,Hypoth,Hypothetical,Chr,2650377,2650997
sll0616,Cytoplasmic,9.97,Cellular processes,Protein and peptide secretion,preprotein translocase SecA subunit,Q55709,SECA_SYNY3,reviewed,Protein translocase subunit SecA,secA sll0616,NA,NA,NA,"FUNCTION: Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. Has a central role in coupling the hydrolysis of ATP to the transfer of proteins into and across the cell membrane, serving as an ATP-driven molecular motor driving the stepwise translocation of polypeptide chains across the membrane. {ECO:0000255|HAMAP-Rule:MF_01382}.; FUNCTION: Probably participates in protein translocation into and across both the cytoplasmic and thylakoid membranes in cyanobacterial cells. {ECO:0000255|HAMAP-Rule:MF_01382}.",cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; thylakoid membrane [GO:0042651]; ATP binding [GO:0005524]; intracellular protein transmembrane transport [GO:0065002]; protein import [GO:0017038]; protein targeting [GO:0006605],intracellular protein transmembrane transport [GO:0065002]; protein import [GO:0017038]; protein targeting [GO:0006605],ATP binding [GO:0005524],cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; thylakoid membrane [GO:0042651],GO:0005524; GO:0005737; GO:0065002; GO:0005886; GO:0017038; GO:0006605; GO:0042651,-0.51190987124464,932,0,0,0,o,107.03,CellProc,Protein and peptid,Chr,2647386,2650184
sll0617,CytoplasmicMembrane,9.82,Cell envelope,"Membranes, lipoproteins, and porins",plasma membrane protein essential for thylakoid formation,Q55707,Y617_SYNY3,reviewed,Uncharacterized protein sll0617,sll0617,NA,NA,NA,NA,cytosol [GO:0005829],NA,NA,cytosol [GO:0005829],GO:0005829,-0.55805243445693,267,0,0,0,o,28.91,Envelope,"Membranes, lipopro",Chr,2645271,2646074
sll0621,CytoplasmicMembrane,10,Other categories,Other,putative c-type cytochrome biogenesis protein CcdA,NA,NA,NA,NA,sll0621,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.92862903225806,248,137.14,24.87,6,o32-54i74-96o100-122i149-171o186-208i221-243o,26.48,Other,Other,Chr,3346910,3347656
sll0622,Cytoplasmic,9.26,"Biosynthesis of cofactors, prosthetic groups, and carriers",Quinolinate,quinolinate synthetase,P74578,NADA_SYNY3,reviewed,Quinolinate synthase A (EC 2.5.1.72),nadA sll0622,2.5.1.72,"CATALYTIC ACTIVITY: Glycerone phosphate + iminosuccinate = pyridine-2,3-dicarboxylate + 2 H(2)O + phosphate. {ECO:0000255|HAMAP-Rule:MF_00568}.",COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000255|HAMAP-Rule:MF_00568}; ;  Note=Binds 1 [4Fe-4S] cluster per subunit. {ECO:0000255|HAMAP-Rule:MF_00568};,FUNCTION: Catalyzes the condensation of iminoaspartate with dihydroxyacetone phosphate to form quinolinate. {ECO:0000255|HAMAP-Rule:MF_00568}.,"cytoplasm [GO:0005737]; 4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; quinolinate synthetase A activity [GO:0008987]; transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]; NAD biosynthetic process [GO:0009435]",NAD biosynthetic process [GO:0009435],"4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; quinolinate synthetase A activity [GO:0008987]; transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]",cytoplasm [GO:0005737],GO:0051539; GO:0009435; GO:0005737; GO:0046872; GO:0008987; GO:0016765,-0.12327044025157,318,0,0,0,o,35.43,Cofactors,Quinolinate,Chr,3345861,3346817
sll0623,Unknown,2,Unknown,Unknown,unknown protein,P74577,P74577_SYNY3,unreviewed,Sll0623 protein,sll0623,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.46768558951965,229,0.01,0.01,0,o,24.35,Unknown,Unknown,Chr,3345027,3345716
sll0624,Cytoplasmic,8.96,Unknown,Unknown,unknown protein,P74575,P74575_SYNY3,unreviewed,Sll0624 protein,sll0624,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26857142857143,105,0.01,0.01,0,o,12.16,Unknown,Unknown,Chr,3342125,3342442
sll0625,Cytoplasmic,8.96,Unknown,Unknown,unknown protein,P74574,P74574_SYNY3,unreviewed,Sll0625 protein,sll0625,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.18044444444444,225,0.24,0.1,0,o,25.64,Unknown,Unknown,Chr,3341166,3341843
sll0626,CytoplasmicMembrane,9.82,Other categories,Other,putative neutral invertase,NA,NA,NA,NA,sll0626,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.25480572597137,489,0.57,0.01,0,o,56.72,Other,Other,Chr,3339500,3340969
sll0629,CytoplasmicMembrane,9.82,Photosynthesis and respiration,Photosystem I,alternative photosystem I reaction center subunit X,P74564,PSAK2_SYNY3,reviewed,Photosystem I reaction center subunit PsaK 2 (Photosystem I subunit X 2),psaK2 sll0629,NA,NA,NA,NA,integral component of membrane [GO:0016021]; photosystem I [GO:0009522]; thylakoid membrane [GO:0042651]; photosynthesis [GO:0015979],photosynthesis [GO:0015979],NA,integral component of membrane [GO:0016021]; photosystem I [GO:0009522]; thylakoid membrane [GO:0042651],GO:0016021; GO:0015979; GO:0009522; GO:0042651,0.52734375,128,50.13,9.78,2,i57-79o105-127i,13.72,Photosynth,Photosystem I,Chr,3322377,3322763
sll0630,Unknown,2.5,Unknown,Unknown,unknown protein,P74563,P74563_SYNY3,unreviewed,Sll0630 protein,sll0630,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.83586206896552,145,12.49,12.49,0,o,16.47,Unknown,Unknown,Chr,3321844,3322281
sll0631,Cytoplasmic,9.97,"Biosynthesis of cofactors, prosthetic groups, and carriers",Quinolinate,L-aspartate oxidase,P74562,NADB_SYNY3,reviewed,L-aspartate oxidase (LASPO) (EC 1.4.3.16) (Quinolinate synthase B),nadB sll0631,1.4.3.16,CATALYTIC ACTIVITY: L-aspartate + O(2) = iminosuccinate + H(2)O(2).,COFACTOR: Name=FAD; Xref=ChEBI:CHEBI:57692;,FUNCTION: Catalyzes the oxidation of L-aspartate to iminoaspartate.,cytoplasm [GO:0005737]; L-aspartate oxidase activity [GO:0008734]; L-aspartate:fumarate oxidoreductase activity [GO:0044318]; NAD biosynthetic process [GO:0009435],NAD biosynthetic process [GO:0009435],L-aspartate:fumarate oxidoreductase activity [GO:0044318]; L-aspartate oxidase activity [GO:0008734],cytoplasm [GO:0005737],GO:0008734; GO:0044318; GO:0009435; GO:0005737,-0.14068716094033001,553,7.1,7.09,0,o,60.51,Cofactors,Quinolinate,Chr,3320075,3321736
sll0634,Unknown,2,Photosynthesis and respiration,Photosystem I,photosystem I biogenesis protein BtpA,P72966,BTPA_SYNY3,reviewed,Photosystem I biogenesis protein BtpA,btpA sll0634,NA,NA,NA,"FUNCTION: Regulates a post-transcriptional process during the life cycle of the PSI protein complex such as (1) translation of the psaAB mRNA, (2) assembly of the PsaA/PsaB polypeptides and their associated cofactors into a functional complex, or (3) degradation of the protein complex.",catalytic activity [GO:0003824],NA,catalytic activity [GO:0003824],NA,GO:0003824,0.23728222996516,287,0.08,0.04,0,o,30.05,Photosynth,Photosystem I,Chr,445061,445924
sll0635,Cytoplasmic,8.96,"Biosynthesis of cofactors, prosthetic groups, and carriers",Thiamin,probable thiamine-phosphate pyrophosphorylase,P72965,THIE_SYNY3,reviewed,Thiamine-phosphate synthase (TP synthase) (TPS) (EC 2.5.1.3) (Thiamine-phosphate pyrophosphorylase) (TMP pyrophosphorylase) (TMP-PPase),thiE sll0635,2.5.1.3,"CATALYTIC ACTIVITY: 4-amino-2-methyl-5-diphosphomethylpyrimidine + 2-((2R,5Z)-2-carboxy-4-methylthiazol-5(2H)-ylidene)ethyl phosphate = diphosphate + thiamine phosphate + CO(2). {ECO:0000255|HAMAP-Rule:MF_01327}.; CATALYTIC ACTIVITY: 4-amino-2-methyl-5-diphosphomethylpyrimidine + 2-(2-carboxy-4-methylthiazol-5-yl)ethyl phosphate = diphosphate + thiamine phosphate + CO(2). {ECO:0000255|HAMAP-Rule:MF_01327}.; CATALYTIC ACTIVITY: 4-amino-2-methyl-5-diphosphomethylpyrimidine + 4-methyl-5-(2-phosphono-oxyethyl)thiazole = diphosphate + thiamine phosphate. {ECO:0000255|HAMAP-Rule:MF_01327}.",COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000255|HAMAP-Rule:MF_01327}; ;  Note=Binds 1 Mg(2+) ion per subunit. {ECO:0000255|HAMAP-Rule:MF_01327};,FUNCTION: Condenses 4-methyl-5-(beta-hydroxyethyl)thiazole monophosphate (THZ-P) and 2-methyl-4-amino-5-hydroxymethyl pyrimidine pyrophosphate (HMP-PP) to form thiamine monophosphate (TMP). {ECO:0000255|HAMAP-Rule:MF_01327}.,cytoplasm [GO:0005737]; magnesium ion binding [GO:0000287]; thiamine-phosphate diphosphorylase activity [GO:0004789]; thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229],thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229],magnesium ion binding [GO:0000287]; thiamine-phosphate diphosphorylase activity [GO:0004789],cytoplasm [GO:0005737],GO:0005737; GO:0000287; GO:0009228; GO:0009229; GO:0004789,-0.29008746355685,343,0,0,0,o,37.89,Cofactors,Thiamin,Chr,443913,444944
sll0638,Unknown,2.5,Hypothetical,Hypothetical,"periplasmic protein, function unknown",P72963,P72963_SYNY3,unreviewed,Sll0638 protein,sll0638,NA,NA,NA,NA,outer membrane-bounded periplasmic space [GO:0030288],NA,NA,outer membrane-bounded periplasmic space [GO:0030288],GO:0030288,-0.02739420935412,449,19.83,19.8,1,i20-42o,49.44,Hypoth,Hypothetical,Chr,440610,441959
sll0639,Unknown,2,Hypothetical,Hypothetical,hypothetical protein,P72962,P72962_SYNY3,unreviewed,Sll0639 protein,sll0639,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.16594724220623,417,0,0,0,o,45.94,Hypoth,Hypothetical,Chr,439184,440437
