System,Process,Pathway,Protein,short_name,full_name,EC-class
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_A0561,h16_A0561,Branched-chain amino acid aminotransferase,K00826 E2.6.1.42; branched-chain amino acid aminotransferase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_B0449,h16_B0449,leucine dehydrogenase,K00263 E1.4.1.9; leucine dehydrogenase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_A1377,pdhL,dihydrolipoamide dehydrogenase (E3) component ofpyruvate dehydrogenase,K00382 DLD; dihydrolipoamide dehydrogenase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_A2323,odhL,dihydrolipoamide dehydrogenase (E3),K00382 DLD; dihydrolipoamide dehydrogenase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_B1098,h16_B1098,Pyridinenucleotide-disulphide (lipoamid) oxidoreductase,K00382 DLD; dihydrolipoamide dehydrogenase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_B0752,h16_B0752,"Acyl-CoA dehydrogenase, short-chain specific",K00248 ACADS; butyryl-CoA dehydrogenase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_B0850,h16_B0850,"Acyl-CoA dehydrogenase, short-chain specific",K00248 ACADS; butyryl-CoA dehydrogenase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_A1530,h16_A1530,Acyl-CoA dehydrogenase,K00248 ACADS; butyryl-CoA dehydrogenase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_B1367,h16_B1367,Acyl-CoA dehydrogenase,K00249 ACADM; acyl-CoA dehydrogenase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_A2596,h16_A2596,Acyl-CoA dehydrogenase,K00249 ACADM; acyl-CoA dehydrogenase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_B0014,h16_B0014,"Acyl-CoA dehydrogenase, short-chain specific",K00249 ACADM; acyl-CoA dehydrogenase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_A0101,h16_A0101,Acyl-CoA dehydrogenase,K00249 ACADM; acyl-CoA dehydrogenase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_B0683,h16_B0683,Acyl-CoA dehydrogenase,K00249 ACADM; acyl-CoA dehydrogenase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_B0703,h16_B0703,Acyl-CoA dehydrogenase,K00249 ACADM; acyl-CoA dehydrogenase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_B0721,h16_B0721,Acyl-CoA dehydrogenase,K00249 ACADM; acyl-CoA dehydrogenase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_B0722,h16_B0722,Acyl-CoA dehydrogenase,K00249 ACADM; acyl-CoA dehydrogenase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_B0913,h16_B0913,Acyl-CoA dehydrogenase,K00249 ACADM; acyl-CoA dehydrogenase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_B0580,h16_B0580,Acyl-CoA dehydrogenase,K00249 ACADM; acyl-CoA dehydrogenase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_B2157,h16_B2157,Acyl-CoA dehydrogenase,K00249 ACADM; acyl-CoA dehydrogenase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_B1826,h16_B1826,Acyl-CoA dehydrogenase,K00249 ACADM; acyl-CoA dehydrogenase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_A1091,h16_A1091,FadE2-like Acyl-CoA dehydrogenase (ACAD),K00249 ACADM; acyl-CoA dehydrogenase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_B0699,h16_B0699,"Acyl-CoA dehydrogenase, long-chain specific",K00249 ACADM; acyl-CoA dehydrogenase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_A2458,abmD,putative acyl-CoA dehydrogenase,K00249 ACADM; acyl-CoA dehydrogenase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_A1291,h16_A1291,Isovaleryl-CoA dehydrogenase,K00249 ACADM; acyl-CoA dehydrogenase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_A1972,ivd2,Isovaleryl-CoA dehydrogenase,K00253 IVD; isovaleryl-CoA dehydrogenase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_A0167,ivd1,Isovaleryl-CoA dehydrogenase,K00253 IVD; isovaleryl-CoA dehydrogenase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_A2291,h16_A2291,probable enoyl-CoA hydratase,K01692 paaF; enoyl-CoA hydratase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_B0657,h16_B0657,Enoyl-CoA hydratase/carnithine racemase,K01692 paaF; enoyl-CoA hydratase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_A0142,h16_A0142,Enoyl-CoA hydratase,K01692 paaF; enoyl-CoA hydratase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_A3307,h16_A3307,putative enoyl-CoA hydratase,K01692 paaF; enoyl-CoA hydratase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_A1889,h16_A1889,Enoyl-CoA hydratase/carnithine racemase,K01692 paaF; enoyl-CoA hydratase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_B0659,h16_B0659,Enoyl-CoA hydratase/carnithine racemase,K01692 paaF; enoyl-CoA hydratase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_A1290,h16_A1290,Acetyl-CoA C-acyltransferase,K00632 fadA; acetyl-CoA acyltransferase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_B0200,pcaF,Beta-ketoadipyl CoA thiolase,K00632 fadA; acetyl-CoA acyltransferase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_A0462,h16_A0462,Acetyl-CoA C-acyltransferase,K00632 fadA; acetyl-CoA acyltransferase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_B1757,h16_B1757,"Acetyl/propionyl-CoA carboxylase, alpha subunit","K11263 bccA; acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein"
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_A1949,sbm2,Methylmalonyl-CoA mutase,K01847 MUT; methylmalonyl-CoA mutase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_B1841,h16_B1841,Methylmalonyl-CoA mutase c-terminal domain/subunit (cobalamin-binding),"K01849 E5.4.99.2B; methylmalonyl-CoA mutase, C-terminal domain"
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_B1842,h16_B1842,Methylmalonyl-CoA mutase alpha subunit,"K01848 E5.4.99.2A; methylmalonyl-CoA mutase, N-terminal domain"
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_A1239,h16_A1239,3-Hydroxyisobutyrate dehydrogenase,K00020 mmsB; 3-hydroxyisobutyrate dehydrogenase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_B1190,h16_B1190,3-Hydroxyisobutyrate dehydrogenase,K00020 mmsB; 3-hydroxyisobutyrate dehydrogenase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_B1657,h16_B1657,3-Hydroxyisobutyrate dehydrogenase,K00020 mmsB; 3-hydroxyisobutyrate dehydrogenase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_B1750,h16_B1750,3-Hydroxyisobutyrate dehydrogenase,K00020 mmsB; 3-hydroxyisobutyrate dehydrogenase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_A3004,h16_A3004,3-Hydroxyisobutyrate dehydrogenase,K00020 mmsB; 3-hydroxyisobutyrate dehydrogenase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_A0273,mmsA1,Methylmalonate-semialdehyde dehydrogenase,K00140 mmsA; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_B1191,mmsA3,Methylmalonate-semialdehyde dehydrogenase,K00140 mmsA; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_A3664,mmsA2,Methylmalonate-semialdehyde dehydrogenase,K00140 mmsA; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_A1495,h16_A1495,NAD-dependent aldehyde dehydrogenase,K00128 ALDH; aldehyde dehydrogenase (NAD+)
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_B1534,h16_B1534,aldehyde dehydrogenase (NAD+),K00128 ALDH; aldehyde dehydrogenase (NAD+)
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_A0745,h16_A0745,NAD-dependent aldehyde dehydrogenase,K00128 ALDH; aldehyde dehydrogenase (NAD+)
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_B0737,h16_B0737,"aldehyde dehydrogenase, NAD-dependent",K00128 ALDH; aldehyde dehydrogenase (NAD+)
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_B0833,h16_B0833,NAD-dependent aldehyde dehydrogenase,K00128 ALDH; aldehyde dehydrogenase (NAD+)
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_B0421,h16_B0421,"aldehyde dehydrogenase, NAD(P)-dependent",K00128 ALDH; aldehyde dehydrogenase (NAD+)
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_B2444,h16_B2444,NAD-dependent aldehyde dehydrogenase,K00128 ALDH; aldehyde dehydrogenase (NAD+)
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_B1735,h16_B1735,NAD-dependent aldehyde dehydrogenase,K00128 ALDH; aldehyde dehydrogenase (NAD+)
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_B1751,h16_B1751,NAD-dependent aldehyde dehydrogenase,K00128 ALDH; aldehyde dehydrogenase (NAD+)
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_B1835,h16_B1835,aldehyde dehydrogenase family protein,K00128 ALDH; aldehyde dehydrogenase (NAD+)
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_A3345,h16_A3345,aldehyde dehydrogenase family,K00128 ALDH; aldehyde dehydrogenase (NAD+)
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_A2978,h16_A2978,Acyl-CoA synthetase,K18661 matB; malonyl-CoA/methylmalonyl-CoA synthetase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_A0272,aptA,Omega-amino acid-pyruvate aminotransferase,K00822 E2.6.1.18; beta-alanine--pyruvate transaminase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_A1974,h16_A1974,"Acetyl/propionyl-CoA carboxylase, alpha subunit",K01968 E6.4.1.4A; 3-methylcrotonyl-CoA carboxylase alpha subunit
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_A0184,accC1,biotin carboxylase,K01968 E6.4.1.4A; 3-methylcrotonyl-CoA carboxylase alpha subunit
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_A1973,h16_A1973,"Acetyl/propionyl-CoA carboxylase,carboxyltransferase subunit",K01969 E6.4.1.4B; 3-methylcrotonyl-CoA carboxylase beta subunit
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_A0177,h16_A0177,Carboxyltransferase,K01969 E6.4.1.4B; 3-methylcrotonyl-CoA carboxylase beta subunit
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_A0179,h16_A0179,Enoyl-CoA hydratase/carnithine racemase,K13766 liuC; methylglutaconyl-CoA hydratase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_A1235,mvaB,Hydroxymethylglutaryl-CoA lyase,K01640 E4.1.3.4; hydroxymethylglutaryl-CoA lyase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_A1547,h16_A1547,Hydroxymethylglutaryl-CoA lyase,K01640 E4.1.3.4; hydroxymethylglutaryl-CoA lyase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_A2385,hmgL1,Hydroxymethylglutaryl-CoA lyase,K01640 E4.1.3.4; hydroxymethylglutaryl-CoA lyase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_A0186,h16_A0186,Hydroxymethylglutaryl-CoA lyase,K01640 E4.1.3.4; hydroxymethylglutaryl-CoA lyase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_B2494,hmgL2,Hydroxymethylglutaryl-CoA lyase,K01640 E4.1.3.4; hydroxymethylglutaryl-CoA lyase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_B0615,h16_B0615,HMG-like protein,K01640 E4.1.3.4; hydroxymethylglutaryl-CoA lyase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_A1331,h16_A1331,Succinyl-CoA:3-ketoacid-coenzyme A transferase subunit ,K01028 E2.8.3.5A; 3-oxoacid CoA-transferase subunit A
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_A1332,h16_A1332,Succinyl-CoA:3-ketoacid-coenzyme A transferase subunit ,K01029 E2.8.3.5B; 3-oxoacid CoA-transferase subunit B
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_A2860,h16_A2860,Acetoacetyl-CoA synthetase,K01907 AACS; acetoacetyl-CoA synthetase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_A1297,h16_A1297,Acetyl-CoA acetyltransferase,K00626 E2.3.1.9; acetyl-CoA C-acetyltransferase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_A1438,phaA,Acetyl-CoA acetyltransferase,K00626 E2.3.1.9; acetyl-CoA C-acetyltransferase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_A1445,bktB,Acetyl-CoA acetyltransferase,K00626 E2.3.1.9; acetyl-CoA C-acetyltransferase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_A1528,h16_A1528,Acetyl-CoA acetyltransferase,K00626 E2.3.1.9; acetyl-CoA C-acetyltransferase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_A2148,h16_A2148,Acetyl-CoA acetyltransferase,K00626 E2.3.1.9; acetyl-CoA C-acetyltransferase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_B1369,h16_B1369,Acetyl-CoA acetyltransferase,K00626 E2.3.1.9; acetyl-CoA C-acetyltransferase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_A1887,h16_A1887,Acetyl-CoA acetyltransferase,K00626 E2.3.1.9; acetyl-CoA C-acetyltransferase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_A0867,h16_A0867,Acetyl-CoA acetyltransferase,K00626 E2.3.1.9; acetyl-CoA C-acetyltransferase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_A0868,h16_A0868,Acetyl-CoA acetyltransferase,K00626 E2.3.1.9; acetyl-CoA C-acetyltransferase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_A0872,h16_A0872,Acetyl-CoA acetyltransferase,K00626 E2.3.1.9; acetyl-CoA C-acetyltransferase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_A1713,h16_A1713,Acetyl-CoA acetyltransferase,K00626 E2.3.1.9; acetyl-CoA C-acetyltransferase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_A1720,h16_A1720,Acetyl-CoA acetyltransferase,K00626 E2.3.1.9; acetyl-CoA C-acetyltransferase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_A0170,h16_A0170,Acetyl-CoA acetyltransferase,K00626 E2.3.1.9; acetyl-CoA C-acetyltransferase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_B0662,h16_B0662,Acetyl-CoA acetyltransferase,K00626 E2.3.1.9; acetyl-CoA C-acetyltransferase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_B0668,h16_B0668,Acetyl-CoA acetyltransferase,K00626 E2.3.1.9; acetyl-CoA C-acetyltransferase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_B0759,h16_B0759,Acetyl-CoA acetyltransferase,K00626 E2.3.1.9; acetyl-CoA C-acetyltransferase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_B0406,h16_B0406,Acetyl-CoA acetyltransferase,K00626 E2.3.1.9; acetyl-CoA C-acetyltransferase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_B0381,h16_B0381,Acetyl-CoA acetyltransferase,K00626 E2.3.1.9; acetyl-CoA C-acetyltransferase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_B0380,h16_B0380,Acetyl-CoA acetyltransferase,K00626 E2.3.1.9; acetyl-CoA C-acetyltransferase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation",H16_B1771,h16_B1771,Acetyl-CoA acetyltransferase,K00626 E2.3.1.9; acetyl-CoA C-acetyltransferase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine biosynthesis",H16_A0427,h16_A0427,threonine dehydratase,K01754 E4.3.1.19; threonine dehydratase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine biosynthesis",H16_B0620,h16_B0620,"L-Serine dehydratase, putative",K17989 SDS; L-serine/L-threonine ammonia-lyase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine biosynthesis",H16_B2275,leuC5,3-Isopropylmalate dehydratase large subunit,K01703 leuC; 3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine biosynthesis",H16_B0052,leuC4,3-Isopropylmalate dehydratase large subunit,K01703 leuC; 3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine biosynthesis",H16_A2621,leuC3,3-Isopropylmalate dehydratase large subunit,K01703 leuC; 3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine biosynthesis",H16_A1236,leuC1,3-Isopropylmalate dehydratase large subunit,K01703 leuC; 3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine biosynthesis",H16_A1549,leuC2,3-Isopropylmalate dehydratase large subunit,K01703 leuC; 3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine biosynthesis",H16_B2276,leuD5,3-Isopropylmalate dehydratase small subunit,K01704 leuD; 3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine biosynthesis",H16_B0051,leuD4,3-Isopropylmalate dehydratase small subunit,K01704 leuD; 3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine biosynthesis",H16_A2620,leuD3,3-Isopropylmalate dehydratase small subunit,K01704 leuD; 3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine biosynthesis",H16_A1237,leuD1,3-Isopropylmalate dehydratase small subunit,K01704 leuD; 3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine biosynthesis",H16_A1550,leuD2,3-Isopropylmalate dehydratase small subunit,K01704 leuD; 3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine biosynthesis",H16_A2619,leuB3,3-Isopropylmalate dehydrogenase,K00052 leuB; 3-isopropylmalate dehydrogenase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine biosynthesis",H16_A1035,ilvB,acetolactate synthase III (valine sensitive),K01652 E2.2.1.6L; acetolactate synthase I/II/III large subunit
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine biosynthesis",H16_B0313,h16_B0313,acetolactate synthase large subunit (TPP dependent),K01652 E2.2.1.6L; acetolactate synthase I/II/III large subunit
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine biosynthesis",H16_A2231,h16_A2231,acetolactate synthase large subunit,K01652 E2.2.1.6L; acetolactate synthase I/II/III large subunit
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine biosynthesis",H16_B0589,h16_B0589,thiamine pyrophosphate-requiring enzyme,K01652 E2.2.1.6L; acetolactate synthase I/II/III large subunit
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine biosynthesis",H16_B0735,h16_B0735,acetolactate synthase large subunit,K01652 E2.2.1.6L; acetolactate synthase I/II/III large subunit
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine biosynthesis",H16_B2452,h16_B2452,acetolactate synthase large subunit,K01652 E2.2.1.6L; acetolactate synthase I/II/III large subunit
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine biosynthesis",H16_A1036,ilvH,acetolactate synthase III small subunit,K01653 E2.2.1.6S; acetolactate synthase I/III small subunit
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine biosynthesis",H16_A1037,ilvC,Ketol-acid reductoisomerase,K00053 ilvC; ketol-acid reductoisomerase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine biosynthesis",H16_A2987,h16_A2987,Dihydroxy-acid dehydratase,K01687 ilvD; dihydroxy-acid dehydratase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine biosynthesis",H16_B0280,h16_B0280,Dihydroxy-acid dehydratase,K01687 ilvD; dihydroxy-acid dehydratase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine biosynthesis",H16_A0561,h16_A0561,Branched-chain amino acid aminotransferase,K00826 E2.6.1.42; branched-chain amino acid aminotransferase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine biosynthesis",H16_B0449,h16_B0449,leucine dehydrogenase,K00263 E1.4.1.9; leucine dehydrogenase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine biosynthesis",H16_A2267,h16_A2267,Aspartate/tyrosine/aromatic aminotransferase,K14260 alaA; alanine-synthesizing transaminase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine biosynthesis",H16_A1041,leuA1,2-Isopropylmalate synthase,K01649 leuA; 2-isopropylmalate synthase
Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine biosynthesis",H16_B0081,leuA2,2-Isopropylmalate synthase,K01649 leuA; 2-isopropylmalate synthase
Metabolism,Amino acid metabolism,Lysine biosynthesis,H16_A2266,thrA,homoserine dehydrogenase,K00003 E1.1.1.3; homoserine dehydrogenase
Metabolism,Amino acid metabolism,Lysine biosynthesis,H16_A1225,lysC,aspartate kinase,K00928 lysC; aspartate kinase
Metabolism,Amino acid metabolism,Lysine biosynthesis,H16_A2618,asd,Aspartate-semialdehyde dehydrogenase,K00133 asd; aspartate-semialdehyde dehydrogenase
Metabolism,Amino acid metabolism,Lysine biosynthesis,H16_A1204,dapA1,dihydrodipicolinate synthase,K01714 dapA; 4-hydroxy-tetrahydrodipicolinate synthase
Metabolism,Amino acid metabolism,Lysine biosynthesis,H16_B0891,dapA3,dihydrodipicolinate synthase,K01714 dapA; 4-hydroxy-tetrahydrodipicolinate synthase
Metabolism,Amino acid metabolism,Lysine biosynthesis,H16_B1831,dapA4,dihydrodipicolinate synthase (DapA),K01714 dapA; 4-hydroxy-tetrahydrodipicolinate synthase
Metabolism,Amino acid metabolism,Lysine biosynthesis,H16_A3141,dapB,dihydrodipicolinate reductase,K00215 dapB; 4-hydroxy-tetrahydrodipicolinate reductase
Metabolism,Amino acid metabolism,Lysine biosynthesis,H16_A3348,h16_A3348,dihydrodipicolinate reductase,K00215 dapB; 4-hydroxy-tetrahydrodipicolinate reductase
Metabolism,Amino acid metabolism,Lysine biosynthesis,H16_A2066,dapD,"2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase","K00674 dapD; 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase"
Metabolism,Amino acid metabolism,Lysine biosynthesis,H16_A3025,argD,acetylornithine aminotransferase,K00821 argD; acetylornithine/N-succinyldiaminopimelate aminotransferase
Metabolism,Amino acid metabolism,Lysine biosynthesis,H16_A2065,h16_A2065,"Aminotransferase, class I and II",K14267 dapC; N-succinyldiaminopimelate aminotransferase
Metabolism,Amino acid metabolism,Lysine biosynthesis,H16_A2069,dapE,Succinyl-diaminopimelate desuccinylase (DapE peptidase),K01439 dapE; succinyl-diaminopimelate desuccinylase
Metabolism,Amino acid metabolism,Lysine biosynthesis,H16_A0227,dapF,diaminopimelate epimerase,K01778 dapF; diaminopimelate epimerase
Metabolism,Amino acid metabolism,Lysine biosynthesis,H16_A3443,lysA2,diaminopimelate decarboxylase,K01586 lysA; diaminopimelate decarboxylase
Metabolism,Amino acid metabolism,Lysine biosynthesis,PHG121,lysA,putative diaminopimelate decarboxylase,K01586 lysA; diaminopimelate decarboxylase
Metabolism,Amino acid metabolism,Lysine biosynthesis,H16_A2662,h16_A2662,"transcriptional regulator, MocR family",K05825 LYSN; 2-aminoadipate transaminase
Metabolism,Amino acid metabolism,Lysine biosynthesis,H16_A3278,murE,"UDP-N-acetylmuramoylalanyl-D-glutamate 2,6-diaminopimelate ligase","K01928 murE; UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase"
Metabolism,Amino acid metabolism,Lysine biosynthesis,H16_A3277,murF,UDP-N-acetylmuramoyl tripeptide-D-alanyl-D-alanine ligase,K01929 murF; UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
Metabolism,Amino acid metabolism,Lysine degradation,H16_A2325,odhA,2-Oxoglutarate dehydrogenase (E1),K00164 OGDH; 2-oxoglutarate dehydrogenase E1 component
Metabolism,Amino acid metabolism,Lysine degradation,H16_A2324,odhB,Dihydrolipoamide S-succinyltransferase (E2),K00658 DLST; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase)
Metabolism,Amino acid metabolism,Lysine degradation,H16_A2818,gcdH,Glutaryl-CoA dehydrogenase,K00252 GCDH; glutaryl-CoA dehydrogenase
Metabolism,Amino acid metabolism,Lysine degradation,H16_A2291,h16_A2291,probable enoyl-CoA hydratase,K01692 paaF; enoyl-CoA hydratase
Metabolism,Amino acid metabolism,Lysine degradation,H16_B0657,h16_B0657,Enoyl-CoA hydratase/carnithine racemase,K01692 paaF; enoyl-CoA hydratase
Metabolism,Amino acid metabolism,Lysine degradation,H16_A0142,h16_A0142,Enoyl-CoA hydratase,K01692 paaF; enoyl-CoA hydratase
